ROI,n_spikes,spike_times_s
ROI.03 [],4,45.777;62.284;106.278;162.778
ROI.10 [],2,59.278;143.780
ROI.18 [],2,25.277;143.277
ROI.11 [],1,56.787
ROI.15 [],1,56.787
ROI.14 [],1,56.787
ROI.16 [],1,56.787
ROI.17 [],1,56.787
ROI.22 [],1,56.276
ROI.000 [],1,56.787
