dataset,file,group,replicate,ROI,roi_number,event_index,time_s,amplitude_dff,latency_from_stim_end_s
0717,10-1,10s,1,ROI.08 [],8,1,87.778,0.011776780378063154,7.778000000000006
0717,10-1,10s,1,ROI.14 [],14,1,58.777,0.002802024602394305,18.777
0717,10-1,10s,1,ROI.02 [],2,1,87.778,0.014286742503771903,7.778000000000006
0717,10-1,10s,1,ROI.03 [],3,1,86.287,0.031035675429087303,6.287000000000006
0717,10-1,10s,1,ROI.21 [],21,1,95.778,0.00885589918823235,15.778000000000006
0717,10-2,10s,2,ROI.08 [],8,1,121.777,0.012153061155383024,1.777000000000001
0717,10-2,10s,2,ROI.14 [],14,1,101.278,0.004629005849630224,21.278000000000006
0717,10-2,10s,2,ROI.19 [],19,1,127.276,0.003597099506626163,7.275999999999996
0717,10-2,10s,2,ROI.02 [],2,1,121.777,0.015061639022621058,1.777000000000001
0717,10-2,10s,2,ROI.03 [],3,1,121.279,0.030110440155918496,1.2789999999999964
0717,10-2,10s,2,ROI.21 [],21,1,65.287,0.027859622743944143,25.287000000000006
0717,10-2,10s,2,ROI.21 [],21,2,100.279,0.027521375342132087,20.278999999999996
0717,10-3,10s,3,ROI.14 [],14,1,100.276,0.005874502669242268,20.275999999999996
0717,10-3,10s,3,ROI.21 [],21,1,65.278,0.030469435260865974,25.278000000000006
0717,10-3,10s,3,ROI.21 [],21,2,100.276,0.029104738173004352,20.275999999999996
0717,20-1,20s,1,ROI.04 [],4,1,104.777,0.00558689077727789,4.777000000000001
0717,20-1,20s,1,ROI.05 [],5,1,123.776,0.003817499800244156,23.775999999999996
0717,20-1,20s,1,ROI.08 [],8,1,104.777,0.015239370212050546,4.777000000000001
0717,20-1,20s,1,ROI.08 [],8,2,126.276,0.005710303338938199,26.275999999999996
0717,20-1,20s,1,ROI.14 [],14,1,71.277,0.007156275916071105,21.277
0717,20-1,20s,1,ROI.14 [],14,2,119.787,0.005763676735298487,19.787000000000006
0717,20-1,20s,1,ROI.16 [],16,1,125.276,0.003710441723415907,25.275999999999996
0717,20-1,20s,1,ROI.02 [],2,1,104.777,0.016261831740159428,4.777000000000001
0717,20-1,20s,1,ROI.03 [],3,1,103.787,0.036122286976574235,3.787000000000006
0717,20-1,20s,1,ROI.03 [],3,2,126.276,0.008647522070521248,26.275999999999996
0717,20-1,20s,1,ROI.21 [],21,1,70.788,0.04607273326055529,20.787999999999997
0717,20-1,20s,1,ROI.21 [],21,2,116.278,0.03960307558087641,16.278000000000006
0717,20-1,20s,1,ROI.24 [],24,1,104.777,0.008319142061793109,4.777000000000001
0717,20-2,20s,2,ROI.01 [],1,1,119.776,0.00447598524061219,19.775999999999996
0717,20-2,20s,2,ROI.02 [],2,1,127.277,0.017457535956706863,27.277
0717,20-2,20s,2,ROI.21 [],21,1,70.777,0.0366169645393287,20.777
0717,20-2,20s,2,ROI.21 [],21,2,119.276,0.038751778539726764,19.275999999999996
0717,20-3,20s,3,ROI.05 [],5,1,61.777,0.004434193843316969,11.777000000000001
0717,20-3,20s,3,ROI.14 [],14,1,61.777,0.0040464152487857084,11.777000000000001
0717,20-3,20s,3,ROI.14 [],14,2,72.276,0.005346504610872497,22.275999999999996
0717,20-3,20s,3,ROI.14 [],14,3,112.777,0.004227281816729867,12.777000000000001
0717,20-3,20s,3,ROI.16 [],16,1,65.275,0.003057778628666801,15.275000000000006
0717,20-3,20s,3,ROI.19 [],19,1,116.778,0.0076568319761028646,16.778000000000006
0717,20-3,20s,3,ROI.01 [],1,1,65.794,0.0029494095675702504,15.793999999999997
0717,20-3,20s,3,ROI.21 [],21,1,70.276,0.03199417672077288,20.275999999999996
0717,20-3,20s,3,ROI.21 [],21,2,110.279,0.027749347426096603,10.278999999999996
0717,20-4,20s,4,ROI.04 [],4,1,114.278,0.005332243952044182,14.278000000000006
0717,20-4,20s,4,ROI.10 [],10,1,70.279,0.005438812710683285,20.278999999999996
0717,20-4,20s,4,ROI.10 [],10,2,107.786,0.009623947703019196,7.786000000000001
0717,20-4,20s,4,ROI.10 [],10,3,128.283,0.009284005127408582,28.282999999999987
0717,20-4,20s,4,ROI.14 [],14,1,113.278,0.007495722682886056,13.278000000000006
0717,20-4,20s,4,ROI.21 [],21,1,70.778,0.026926474759774027,20.778000000000006
0717,20-4,20s,4,ROI.21 [],21,2,110.777,0.027010625147668086,10.777000000000001
0717,20-4,20s,4,ROI.25 [],25,1,114.278,0.004952800929036806,14.278000000000006
0717,20-5,20s,5,ROI.08 [],8,1,78.777,0.01320536939606708,28.777
0717,20-5,20s,5,ROI.10 [],10,1,105.778,0.013863387794560415,5.778000000000006
0717,20-5,20s,5,ROI.15 [],15,1,105.778,0.004500033446972139,5.778000000000006
0717,20-5,20s,5,ROI.15 [],15,2,126.278,0.005627123882637218,26.278000000000006
0717,20-5,20s,5,ROI.15 [],15,3,153.287,0.0025910717406776554,3.287000000000006
0717,20-5,20s,5,ROI.02 [],2,1,78.777,0.01443877919867268,28.777
0717,20-5,20s,5,ROI.03 [],3,1,78.777,0.03330849261515894,28.777
0717,20-5,20s,5,ROI.03 [],3,2,105.778,0.006920620945097233,5.778000000000006
0717,20-5,20s,5,ROI.21 [],21,1,70.786,0.026497254169495964,20.786
0717,20-5,20s,5,ROI.21 [],21,2,111.789,0.03180019619972409,11.789000000000001
0717,20-6,20s,6,ROI.21 [],21,1,70.276,0.025494023752221054,20.275999999999996
0717,20-6,20s,6,ROI.21 [],21,2,110.278,0.021516134023810484,10.278000000000006
0717,20-7,20s,7,ROI.07 [],7,1,109.777,0.0035921546839397258,9.777000000000001
0717,20-7,20s,7,ROI.08 [],8,1,152.776,0.010119141243202153,2.7760000000000105
0717,20-7,20s,7,ROI.10 [],10,1,101.787,0.007235004730492876,1.7870000000000061
0717,20-7,20s,7,ROI.10 [],10,2,127.787,0.006913033629506387,27.787000000000006
0717,20-7,20s,7,ROI.14 [],14,1,72.277,0.006660224665653108,22.277
0717,20-7,20s,7,ROI.02 [],2,1,152.776,0.011362389492294983,2.7760000000000105
0717,20-7,20s,7,ROI.03 [],3,1,153.277,0.02479399348658781,3.276999999999987
0717,20-7,20s,7,ROI.21 [],21,1,72.277,0.022333713237642765,22.277
0717,20-7,20s,7,ROI.21 [],21,2,111.777,0.02493238501895588,11.777000000000001
0717,20-7,20s,7,ROI.25 [],25,1,153.277,0.004465771131033404,3.276999999999987
0717,20-8,20s,8,ROI.05 [],5,1,56.278,0.005188766915072298,6.277999999999999
0717,20-8,20s,8,ROI.05 [],5,2,115.282,0.0038197833626469183,15.281999999999996
0717,20-8,20s,8,ROI.08 [],8,1,56.278,0.003329325124721004,6.277999999999999
0717,20-8,20s,8,ROI.08 [],8,2,112.278,0.012491862697676395,12.278000000000006
0717,20-8,20s,8,ROI.12 [],12,1,57.795,0.004121563865040165,7.795000000000002
0717,20-8,20s,8,ROI.13 [],13,1,58.278,0.003376175882897702,8.277999999999999
0717,20-8,20s,8,ROI.14 [],14,1,110.288,0.004824492161346695,10.287999999999997
0717,20-8,20s,8,ROI.18 [],18,1,54.279,0.0030393040310555675,4.2790000000000035
0717,20-8,20s,8,ROI.18 [],18,2,113.288,0.002174172843634097,13.287999999999997
0717,20-8,20s,8,ROI.02 [],2,1,57.795,0.0040178122768329575,7.795000000000002
0717,20-8,20s,8,ROI.02 [],2,2,114.778,0.015385186495963838,14.778000000000006
0717,20-8,20s,8,ROI.03 [],3,1,112.278,0.03213624814378604,12.278000000000006
0717,20-8,20s,8,ROI.21 [],21,1,70.278,0.02257421924017926,20.278000000000006
0717,20-8,20s,8,ROI.21 [],21,2,110.288,0.021735407220334513,10.287999999999997
0717,20-8,20s,8,ROI.23 [],23,1,54.279,0.0042777050640448915,4.2790000000000035
0717,20-8,20s,8,ROI.23 [],23,2,79.788,0.003631351667533529,29.787999999999997
0717,20-9,20s,9,ROI.08 [],8,1,76.777,0.01640100340091168,26.777
0717,20-9,20s,9,ROI.08 [],8,2,150.776,0.009656142628700721,0.7760000000000105
0717,20-9,20s,9,ROI.02 [],2,1,78.777,0.02184426988242071,28.777
0717,20-9,20s,9,ROI.02 [],2,2,150.776,0.010047709317399161,0.7760000000000105
0717,20-9,20s,9,ROI.03 [],3,1,77.777,0.030240779421942594,27.777
0717,20-9,20s,9,ROI.03 [],3,2,124.776,0.004246543448630289,24.775999999999996
0717,20-9,20s,9,ROI.03 [],3,3,150.776,0.026643299920297233,0.7760000000000105
0717,20-9,20s,9,ROI.03 [],3,4,182.277,0.003695683906428764,32.27699999999999
0717,2hz1,2Hz,1,ROI.08 [],8,1,61.278,0.01035551940223622,11.277999999999999
0717,2hz1,2Hz,1,ROI.10 [],10,1,60.786,0.007882923359011465,10.786000000000001
0717,2hz1,2Hz,1,ROI.10 [],10,2,154.778,0.005763365708096631,4.777999999999992
0717,2hz1,2Hz,1,ROI.16 [],16,1,56.275,0.0020720438210893575,6.274999999999999
0717,2hz1,2Hz,1,ROI.16 [],16,2,72.278,0.0022688655414293537,22.278000000000006
0717,2hz1,2Hz,1,ROI.02 [],2,1,61.278,0.010374968303014074,11.277999999999999
0717,2hz1,2Hz,1,ROI.03 [],3,1,61.278,0.026211315265340648,11.277999999999999
0717,2hz1,2Hz,1,ROI.21 [],21,1,75.776,0.011987466249187133,25.775999999999996
0717,2hz1,2Hz,1,ROI.21 [],21,2,116.278,0.012757651912641,16.278000000000006
0717,2hz1,2Hz,1,ROI.21 [],21,3,150.778,0.01336598314285911,0.7779999999999916
0717,2hz2,2Hz,2,ROI.04 [],4,1,108.278,0.0028990189865642077,8.278000000000006
0717,2hz2,2Hz,2,ROI.08 [],8,1,59.784,0.009370755106267925,9.783999999999999
0717,2hz2,2Hz,2,ROI.08 [],8,2,101.277,0.009973823162238377,1.277000000000001
0717,2hz2,2Hz,2,ROI.08 [],8,3,122.778,0.0026531928554873216,22.778000000000006
0717,2hz2,2Hz,2,ROI.12 [],12,1,106.777,0.0032347909231961844,6.777000000000001
0717,2hz2,2Hz,2,ROI.14 [],14,1,152.277,0.0035364669324951152,2.276999999999987
0717,2hz2,2Hz,2,ROI.18 [],18,1,79.78,0.003940057164171901,29.78
0717,2hz2,2Hz,2,ROI.02 [],2,1,61.278,0.011214467971113487,11.277999999999999
0717,2hz2,2Hz,2,ROI.02 [],2,2,101.277,0.012132580377684323,1.277000000000001
0717,2hz2,2Hz,2,ROI.03 [],3,1,59.278,0.02574684774579856,9.277999999999999
0717,2hz2,2Hz,2,ROI.03 [],3,2,101.277,0.025674764354753736,1.277000000000001
0717,2hz2,2Hz,2,ROI.03 [],3,3,122.778,0.005193846685769176,22.778000000000006
0717,2hz2,2Hz,2,ROI.21 [],21,1,70.777,0.014273015920236005,20.777
0717,2hz2,2Hz,2,ROI.21 [],21,2,110.778,0.01516199283149263,10.778000000000006
0717,2hz2,2Hz,2,ROI.21 [],21,3,152.277,0.01460590628765637,2.276999999999987
0717,2hz3,2Hz,3,ROI.08 [],8,1,67.277,0.011755332595598508,17.277
0717,2hz3,2Hz,3,ROI.08 [],8,2,105.278,0.010344931097803274,5.278000000000006
0717,2hz3,2Hz,3,ROI.14 [],14,1,154.776,0.004207167828742122,4.7760000000000105
0717,2hz3,2Hz,3,ROI.19 [],19,1,72.276,0.0028809862367546847,22.275999999999996
0717,2hz3,2Hz,3,ROI.19 [],19,2,123.779,0.002008743465276202,23.778999999999996
0717,2hz3,2Hz,3,ROI.01 [],1,1,63.778,0.001333498094245,13.777999999999999
0717,2hz3,2Hz,3,ROI.02 [],2,1,67.277,0.012743825059993557,17.277
0717,2hz3,2Hz,3,ROI.02 [],2,2,107.283,0.010999708191925445,7.283000000000001
0717,2hz3,2Hz,3,ROI.03 [],3,1,67.277,0.027837684663338604,17.277
0717,2hz3,2Hz,3,ROI.03 [],3,2,105.278,0.026431757682024073,5.278000000000006
0717,2hz3,2Hz,3,ROI.21 [],21,1,72.276,0.0184101033023306,22.275999999999996
0717,2hz3,2Hz,3,ROI.21 [],21,2,110.776,0.01951539768071099,10.775999999999996
0717,2hz3,2Hz,3,ROI.21 [],21,3,151.776,0.019826168383272794,1.7760000000000105
0717,4mW1,4mW,1,ROI.21 [],21,1,51.278,0.008902093415463538,1.2779999999999987
0717,4mW1,4mW,1,ROI.21 [],21,2,70.785,0.01951263986023926,20.784999999999997
0717,4mW1,4mW,1,ROI.21 [],21,3,110.787,0.01983068937484922,10.787000000000006
0717,5hz1,5Hz,1,ROI.08 [],8,1,79.784,0.011035404931748524,29.784000000000006
0717,5hz1,5Hz,1,ROI.08 [],8,2,124.777,0.01068749503185937,24.777
0717,5hz1,5Hz,1,ROI.02 [],2,1,124.777,0.012519392103145888,24.777
0717,5hz1,5Hz,1,ROI.03 [],3,1,79.784,0.0286213312053702,29.784000000000006
0717,5hz1,5Hz,1,ROI.03 [],3,2,124.28,0.02724298851598062,24.28
0717,5hz1,5Hz,1,ROI.21 [],21,1,70.778,0.013861523144061328,20.778000000000006
0717,5hz1,5Hz,1,ROI.21 [],21,2,110.778,0.013720851269956227,10.778000000000006
0717,5hz1,5Hz,1,ROI.21 [],21,3,151.29,0.014383702435643478,1.289999999999992
0717,5hz2,5Hz,2,ROI.08 [],8,1,64.786,0.010795585968656405,14.786000000000001
0717,5hz2,5Hz,2,ROI.08 [],8,2,102.286,0.009837374970051544,2.2860000000000014
0717,5hz2,5Hz,2,ROI.02 [],2,1,66.277,0.012055510211528257,16.277
0717,5hz2,5Hz,2,ROI.02 [],2,2,103.777,0.011435849671506354,3.777000000000001
0717,5hz2,5Hz,2,ROI.03 [],3,1,64.786,0.028819574312432285,14.786000000000001
0717,5hz2,5Hz,2,ROI.03 [],3,2,100.777,0.02708193852181272,0.777000000000001
0717,5hz2,5Hz,2,ROI.21 [],21,1,70.276,0.013274820112427872,20.275999999999996
0717,5hz2,5Hz,2,ROI.21 [],21,2,110.778,0.012313161182998097,10.778000000000006
0717,5hz2,5Hz,2,ROI.21 [],21,3,150.783,0.014767000127440106,0.782999999999987
0717,5hz3,5Hz,3,ROI.04 [],4,1,60.777,0.003066992571443058,10.777000000000001
0717,5hz3,5Hz,3,ROI.08 [],8,1,60.777,0.010421419199038032,10.777000000000001
0717,5hz3,5Hz,3,ROI.08 [],8,2,123.786,0.009898469304010355,23.786
0717,5hz3,5Hz,3,ROI.02 [],2,1,61.277,0.013521887370589807,11.277000000000001
0717,5hz3,5Hz,3,ROI.02 [],2,2,123.786,0.012145946820319027,23.786
0717,5hz3,5Hz,3,ROI.03 [],3,1,58.786,0.02710891093498698,8.786000000000001
0717,5hz3,5Hz,3,ROI.03 [],3,2,121.288,0.02817589324409496,21.287999999999997
0717,5hz3,5Hz,3,ROI.21 [],21,1,72.787,0.013433115758737997,22.787000000000006
0717,5hz3,5Hz,3,ROI.21 [],21,2,112.276,0.013933165374502433,12.275999999999996
0717,5hz3,5Hz,3,ROI.21 [],21,3,152.287,0.01632747539805854,2.287000000000006
0717,5s1,5s,1,ROI.04 [],4,1,46.783,0.003464936364554943,11.783000000000001
0717,5s1,5s,1,ROI.04 [],4,2,55.777,0.0026332983326930485,20.777
0717,5s1,5s,1,ROI.05 [],5,1,46.783,0.0028613461361634393,11.783000000000001
0717,5s1,5s,1,ROI.05 [],5,2,136.277,0.0022063839862929836,31.276999999999987
0717,5s1,5s,1,ROI.15 [],15,1,115.276,0.0026921537262831934,10.275999999999996
0717,5s1,5s,1,ROI.02 [],2,1,105.294,0.014685488805929752,0.29399999999999693
0717,5s1,5s,1,ROI.03 [],3,1,105.294,0.030524469613178902,0.29399999999999693
0717,5s1,5s,1,ROI.21 [],21,1,78.276,0.005357861295017194,8.275999999999996
0717,5s1,5s,1,ROI.21 [],21,2,83.778,0.009471792941840342,13.778000000000006
0717,5s2,5s,2,ROI.08 [],8,1,63.792,0.011563919833281729,28.792
0717,5s2,5s,2,ROI.08 [],8,2,138.278,0.012045248450394182,33.27799999999999
0717,5s2,5s,2,ROI.14 [],14,1,39.287,0.0036736889803421985,4.286999999999999
0717,5s2,5s,2,ROI.14 [],14,2,63.792,0.002743419731490185,28.792
0717,5s2,5s,2,ROI.14 [],14,3,83.787,0.0029525176682107836,13.787000000000006
0717,5s2,5s,2,ROI.14 [],14,4,111.277,0.0021648126209797705,6.277000000000001
0717,5s2,5s,2,ROI.02 [],2,1,64.276,0.011535509259288772,29.275999999999996
0717,5s2,5s,2,ROI.02 [],2,2,138.278,0.013566134962226898,33.27799999999999
0717,5s2,5s,2,ROI.03 [],3,1,61.779,0.030679400245377613,26.779000000000003
0717,5s2,5s,2,ROI.03 [],3,2,138.278,0.031175287300648693,33.27799999999999
0717,5s2,5s,2,ROI.21 [],21,1,36.778,0.020199184005517026,1.7779999999999987
0717,5s2,5s,2,ROI.21 [],21,2,80.277,0.024802892398030674,10.277000000000001
0717,5s2,5s,2,ROI.21 [],21,3,130.284,0.025267737727046158,25.283999999999992
0717,5s3,5s,3,ROI.08 [],8,1,133.277,0.012029577363416514,28.276999999999987
0717,5s3,5s,3,ROI.02 [],2,1,133.277,0.014064955351980022,28.276999999999987
0717,5s3,5s,3,ROI.03 [],3,1,45.276,0.004139296593833074,10.276000000000003
0717,5s3,5s,3,ROI.03 [],3,2,131.778,0.030478594707489367,26.77799999999999
0717,5s3,5s,3,ROI.03 [],3,3,175.779,0.003631675987012242,
0717,5s3,5s,3,ROI.21 [],21,1,40.277,0.014030923657562241,5.277000000000001
0717,5s3,5s,3,ROI.21 [],21,2,80.278,0.017403150509585553,10.278000000000006
0717,5s3,5s,3,ROI.21 [],21,3,118.284,0.010592121492998732,13.284000000000006
0717,5s3,5s,3,ROI.21 [],21,4,130.276,0.016757851621132552,25.27600000000001
0717,Ctrl,Ctrl,1,ROI.08 [],8,1,71.286,0.01315377877374209,
0717,Ctrl,Ctrl,1,ROI.08 [],8,2,131.287,0.014496257085776879,
0717,Ctrl,Ctrl,1,ROI.14 [],14,1,111.79,0.0031907412512639784,
0717,Ctrl,Ctrl,1,ROI.19 [],19,1,39.276,0.007145309253688865,
0717,Ctrl,Ctrl,1,ROI.19 [],19,2,93.788,0.0033536333822898634,
0717,Ctrl,Ctrl,1,ROI.19 [],19,3,109.28,0.004166396969878444,
0717,Ctrl,Ctrl,1,ROI.19 [],19,4,144.777,0.0065159199991814375,
0717,Ctrl,Ctrl,1,ROI.02 [],2,1,72.778,0.014634871064216225,
0717,Ctrl,Ctrl,1,ROI.02 [],2,2,131.287,0.0166780646003271,
0717,Ctrl,Ctrl,1,ROI.03 [],3,1,69.782,0.038075919431975316,
0717,Ctrl,Ctrl,1,ROI.03 [],3,2,130.787,0.038281422836031566,
0717,Ctrl2,Far,1,ROI.08 [],8,1,104.778,0.011983917283401693,4.778000000000006
0717,Ctrl2,Far,1,ROI.15 [],15,1,78.787,0.0028530112174706235,28.787000000000006
0717,Ctrl2,Far,1,ROI.15 [],15,2,116.276,0.003366654343737261,16.275999999999996
0717,Ctrl2,Far,1,ROI.02 [],2,1,104.778,0.01397568442162804,4.778000000000006
0717,Ctrl2,Far,1,ROI.03 [],3,1,62.777,0.006096323898279401,12.777000000000001
0717,Ctrl2,Far,1,ROI.03 [],3,2,102.776,0.03349691355089241,2.7759999999999962
0718,10s1,10s,1,ROI.08 [],8,1,89.279,0.014439167652689,9.278999999999996
0718,10s2,10s,2,ROI.02 [],2,1,54.788,0.014401366313185079,14.787999999999997
0718,10s2,10s,2,ROI.02 [],2,2,66.277,0.009276316068098207,26.277
0718,10s2,10s,2,ROI.02 [],2,3,101.778,0.01234638574854749,21.778000000000006
0718,10s2,10s,2,ROI.02 [],2,4,134.281,0.010744371802475144,14.281000000000006
0718,10s2,10s,2,ROI.03 [],3,1,137.778,0.08329049521067874,17.77799999999999
0718,10s4,10s,4,ROI.02 [],2,1,43.284,0.016441676959350834,3.283999999999999
0718,10s5,10s,5,ROI.06 [],6,1,56.287,0.0037390869983400096,16.287
0718,10s5,10s,5,ROI.06 [],6,2,134.285,0.0038488279729034774,14.284999999999997
0718,20-2,20s,2,ROI.08 [],8,1,60.779,0.008983880877629915,10.779000000000003
0718,20-3,20s,3,ROI.02 [],2,1,55.777,0.012023720877391057,5.777000000000001
0718,20-3,20s,3,ROI.06 [],6,1,102.778,0.007186402326811768,2.778000000000006
0718,20-3,20s,3,ROI.13 [],13,1,121.777,0.005846054204420136,21.777
0718,20-3,20s,3,ROI.14 [],14,1,56.285,0.004711372516624544,6.284999999999997
0718,20-4,20s,4,ROI.01 [],1,1,62.784,0.007767020649739668,12.783999999999999
0718,20-4,20s,4,ROI.06 [],6,1,63.792,0.00796200050403108,13.792000000000002
0718,20-4,20s,4,ROI.06 [],6,2,76.286,0.0073283082939036345,26.286
0718,20-4,20s,4,ROI.06 [],6,3,108.277,0.004137462700341525,8.277000000000001
0718,20-4,20s,4,ROI.06 [],6,4,126.778,0.004000457917934026,26.778000000000006
0718,20-4,20s,4,ROI.10 [],10,1,57.277,0.007353437522350987,7.277000000000001
0718,20-4,20s,4,ROI.13 [],13,1,60.277,0.008084133437481163,10.277000000000001
0718,20-7,20s,7,ROI.04 [],4,1,65.777,0.011905783644049336,15.777000000000001
0718,2hz1,2Hz,1,ROI.09 [],9,1,76.778,0.0042978300396376255,26.778000000000006
0718,2hz1,2Hz,1,ROI.16 [],16,1,108.778,0.005679294872011523,8.778000000000006
0718,2hz4,2Hz,4,ROI.03 [],3,1,154.778,0.06614603298024295,4.777999999999992
0718,2hz5,2Hz,5,ROI.03 [],3,1,72.789,0.06596599826296459,22.789
0718,2mw1,2mW,1,ROI.04 [],4,1,111.277,0.00605124807508269,11.277000000000001
0718,2mw1,2mW,1,ROI.06 [],6,1,77.777,0.005417367059714353,27.777
0718,2mw2,2mW,2,ROI.04 [],4,1,50.778,0.008011405578261688,0.7779999999999987
0718,2mw2,2mW,2,ROI.11 [],11,1,53.776,0.00501394779252278,3.7760000000000034
