dataset,file,group,replicate,ROI,roi_number,event_index,time_s,amplitude_dff,latency_from_stim_end_s
0718,2mW3,2mW,3,ROI.03 [],3,1,63.779,0.08364348778741595,13.779000000000003
0718,5hz1,5Hz,1,ROI.03 [],3,1,154.795,0.06041201737761344,4.7949999999999875
0718,5hz1,5Hz,1,ROI.12 [],12,1,123.777,0.005371912303105572,23.777
0718,5hz2,5Hz,2,ROI.01 [],1,1,65.777,0.7817055004480539,15.777000000000001
0718,5hz2,5Hz,2,ROI.01 [],1,2,105.787,0.7872110611177595,5.787000000000006
0718,5hz2,5Hz,2,ROI.01 [],1,3,125.277,0.7847700089072229,25.277
0718,5hz2,5Hz,2,ROI.02 [],2,1,68.776,0.9079197589523207,18.775999999999996
0718,5hz2,5Hz,2,ROI.02 [],2,2,105.787,0.9157877480911103,5.787000000000006
0718,5hz2,5Hz,2,ROI.02 [],2,3,125.277,0.9151872657204626,25.277
0718,5hz2,5Hz,2,ROI.03 [],3,1,69.777,0.7371535473706956,19.777
0718,5hz2,5Hz,2,ROI.03 [],3,2,105.787,0.7430752353414831,5.787000000000006
0718,5hz2,5Hz,2,ROI.03 [],3,3,126.787,0.7410496846052239,26.787000000000006
0718,5hz2,5Hz,2,ROI.04 [],4,1,69.777,0.7718913099142665,19.777
0718,5hz2,5Hz,2,ROI.04 [],4,2,109.276,0.7766517266325254,9.275999999999996
0718,5hz2,5Hz,2,ROI.04 [],4,3,124.777,0.7754215102985884,24.777
0718,5hz2,5Hz,2,ROI.06 [],6,1,68.776,0.6846882081113751,18.775999999999996
0718,5hz2,5Hz,2,ROI.06 [],6,2,105.787,0.6896713986105008,5.787000000000006
0718,5hz2,5Hz,2,ROI.06 [],6,3,125.277,0.6886276289356298,25.277
0718,5hz2,5Hz,2,ROI.07 [],7,1,69.777,0.959148250636837,19.777
0718,5hz2,5Hz,2,ROI.07 [],7,2,108.776,0.9675651807679111,8.775999999999996
0718,5hz2,5Hz,2,ROI.07 [],7,3,123.276,0.9659832641542033,23.275999999999996
0718,5hz2,5Hz,2,ROI.08 [],8,1,68.776,0.8177302662288239,18.775999999999996
0718,5hz2,5Hz,2,ROI.08 [],8,2,105.277,0.8227829067213464,5.277000000000001
0718,5hz2,5Hz,2,ROI.08 [],8,3,125.277,0.8234619424641971,25.277
0718,5hz2,5Hz,2,ROI.09 [],9,1,71.278,19.7307496922828,21.278000000000006
0718,5hz2,5Hz,2,ROI.09 [],9,2,112.278,19.955645696429777,12.278000000000006
0718,5hz2,5Hz,2,ROI.10 [],10,1,71.278,2.2126585685569515,21.278000000000006
0718,5hz2,5Hz,2,ROI.10 [],10,2,119.778,2.196479825262907,19.778000000000006
0718,5hz2,5Hz,2,ROI.11 [],11,1,73.778,0.05124727469559173,23.778000000000006
0718,5hz2,5Hz,2,ROI.11 [],11,2,117.777,0.060324818281064584,17.777
0718,5hz2,5Hz,2,ROI.12 [],12,1,66.289,0.7948926277076587,16.289
0718,5hz2,5Hz,2,ROI.12 [],12,2,109.777,0.7996349340073031,9.777000000000001
0718,5hz2,5Hz,2,ROI.12 [],12,3,125.777,0.7991856313971342,25.777
0718,5hz2,5Hz,2,ROI.13 [],13,1,69.777,0.7379350334027958,19.777
0718,5hz2,5Hz,2,ROI.13 [],13,2,105.787,0.7448920955089343,5.787000000000006
0718,5hz2,5Hz,2,ROI.13 [],13,3,127.777,0.7440803869802983,27.777
0718,5hz2,5Hz,2,ROI.14 [],14,1,66.289,0.9758882807726176,16.289
0718,5hz2,5Hz,2,ROI.14 [],14,2,105.787,0.9861759066944779,5.787000000000006
0718,5hz2,5Hz,2,ROI.14 [],14,3,125.277,0.9856242755344807,25.277
0718,5hz2,5Hz,2,ROI.15 [],15,1,69.777,0.4087322297181969,19.777
0718,5hz2,5Hz,2,ROI.15 [],15,2,104.777,0.41141991170236997,4.777000000000001
0718,5hz2,5Hz,2,ROI.15 [],15,3,125.277,0.410372385816806,25.277
0718,5hz2,5Hz,2,ROI.16 [],16,1,65.277,0.6135776739374672,15.277000000000001
0718,5hz2,5Hz,2,ROI.16 [],16,2,105.787,0.6220883274745398,5.787000000000006
0718,5hz2,5Hz,2,ROI.16 [],16,3,123.276,0.6197244653259157,23.275999999999996
0718,5hz3,5Hz,3,ROI.01 [],1,1,52.278,0.7962865790714913,2.2779999999999987
0718,5hz3,5Hz,3,ROI.01 [],1,2,64.279,0.8038760211374548,14.278999999999996
0718,5hz3,5Hz,3,ROI.01 [],1,3,108.782,0.8062786357664393,8.781999999999996
0718,5hz3,5Hz,3,ROI.01 [],1,4,129.778,0.8073765028013579,29.77799999999999
0718,5hz3,5Hz,3,ROI.02 [],2,1,52.278,0.9299237782925444,2.2779999999999987
0718,5hz3,5Hz,3,ROI.02 [],2,2,66.777,0.9395504294682854,16.777
0718,5hz3,5Hz,3,ROI.02 [],2,3,110.277,0.9473172805180947,10.277000000000001
0718,5hz3,5Hz,3,ROI.02 [],2,4,129.778,0.9451720405587812,29.77799999999999
0718,5hz3,5Hz,3,ROI.03 [],3,1,52.278,0.7452705171743796,2.2779999999999987
0718,5hz3,5Hz,3,ROI.03 [],3,2,67.779,0.7550882791055807,17.778999999999996
0718,5hz3,5Hz,3,ROI.03 [],3,3,111.279,0.7615139945506723,11.278999999999996
0718,5hz3,5Hz,3,ROI.03 [],3,4,123.279,0.7586300207409574,23.278999999999996
0718,5hz3,5Hz,3,ROI.04 [],4,1,52.278,0.785281261337552,2.2779999999999987
0718,5hz3,5Hz,3,ROI.04 [],4,2,66.777,0.7927000193134481,16.777
0718,5hz3,5Hz,3,ROI.04 [],4,3,106.78,0.7954530088619726,6.780000000000001
0718,5hz3,5Hz,3,ROI.04 [],4,4,124.778,0.7973238163132019,24.778000000000006
0718,5hz3,5Hz,3,ROI.06 [],6,1,53.787,0.6978620056409511,3.786999999999999
