dataset,file,group,replicate,ROI,roi_number,n_events
0717,20-6,20s,6,ROI.10 [],10,0
0717,20-6,20s,6,ROI.11 [],11,0
0717,20-6,20s,6,ROI.12 [],12,0
0717,20-6,20s,6,ROI.13 [],13,0
0717,20-6,20s,6,ROI.14 [],14,0
0717,20-6,20s,6,ROI.15 [],15,0
0717,20-6,20s,6,ROI.16 [],16,0
0717,20-6,20s,6,ROI.17 [],17,0
0717,20-6,20s,6,ROI.18 [],18,0
0717,20-6,20s,6,ROI.19 [],19,0
0717,20-6,20s,6,ROI.20 [],20,0
0717,20-6,20s,6,ROI.01 [],1,0
0717,20-6,20s,6,ROI.02 [],2,0
0717,20-6,20s,6,ROI.03 [],3,0
0717,20-6,20s,6,ROI.21 [],21,2
0717,20-6,20s,6,ROI.23 [],23,0
0717,20-6,20s,6,ROI.24 [],24,0
0717,20-6,20s,6,ROI.25 [],25,0
0717,20-7,20s,7,ROI.04 [],4,0
0717,20-7,20s,7,ROI.05 [],5,0
0717,20-7,20s,7,ROI.06 [],6,0
0717,20-7,20s,7,ROI.07 [],7,1
0717,20-7,20s,7,ROI.08 [],8,1
0717,20-7,20s,7,ROI.09 [],9,0
0717,20-7,20s,7,ROI.10 [],10,2
0717,20-7,20s,7,ROI.11 [],11,0
0717,20-7,20s,7,ROI.12 [],12,0
0717,20-7,20s,7,ROI.13 [],13,0
0717,20-7,20s,7,ROI.14 [],14,1
0717,20-7,20s,7,ROI.15 [],15,0
0717,20-7,20s,7,ROI.16 [],16,0
0717,20-7,20s,7,ROI.17 [],17,0
0717,20-7,20s,7,ROI.18 [],18,0
0717,20-7,20s,7,ROI.19 [],19,0
0717,20-7,20s,7,ROI.20 [],20,0
0717,20-7,20s,7,ROI.01 [],1,0
0717,20-7,20s,7,ROI.02 [],2,1
0717,20-7,20s,7,ROI.03 [],3,1
0717,20-7,20s,7,ROI.21 [],21,2
0717,20-7,20s,7,ROI.23 [],23,0
0717,20-7,20s,7,ROI.24 [],24,0
0717,20-7,20s,7,ROI.25 [],25,1
0717,20-8,20s,8,ROI.04 [],4,0
0717,20-8,20s,8,ROI.05 [],5,2
0717,20-8,20s,8,ROI.06 [],6,0
0717,20-8,20s,8,ROI.07 [],7,0
0717,20-8,20s,8,ROI.08 [],8,2
0717,20-8,20s,8,ROI.09 [],9,0
0717,20-8,20s,8,ROI.10 [],10,0
0717,20-8,20s,8,ROI.11 [],11,0
0717,20-8,20s,8,ROI.12 [],12,1
0717,20-8,20s,8,ROI.13 [],13,1
0717,20-8,20s,8,ROI.14 [],14,1
0717,20-8,20s,8,ROI.15 [],15,0
0717,20-8,20s,8,ROI.16 [],16,0
0717,20-8,20s,8,ROI.17 [],17,0
0717,20-8,20s,8,ROI.18 [],18,2
0717,20-8,20s,8,ROI.19 [],19,0
0717,20-8,20s,8,ROI.20 [],20,0
0717,20-8,20s,8,ROI.01 [],1,0
0717,20-8,20s,8,ROI.02 [],2,2
0717,20-8,20s,8,ROI.03 [],3,1
0717,20-8,20s,8,ROI.21 [],21,2
0717,20-8,20s,8,ROI.23 [],23,2
0717,20-8,20s,8,ROI.24 [],24,0
0717,20-8,20s,8,ROI.25 [],25,0
0717,20-9,20s,9,ROI.04 [],4,0
0717,20-9,20s,9,ROI.05 [],5,0
0717,20-9,20s,9,ROI.06 [],6,0
0717,20-9,20s,9,ROI.07 [],7,0
0717,20-9,20s,9,ROI.08 [],8,2
0717,20-9,20s,9,ROI.09 [],9,0
0717,20-9,20s,9,ROI.10 [],10,0
0717,20-9,20s,9,ROI.11 [],11,0
0717,20-9,20s,9,ROI.12 [],12,0
0717,20-9,20s,9,ROI.13 [],13,0
0717,20-9,20s,9,ROI.14 [],14,0
0717,20-9,20s,9,ROI.15 [],15,0
0717,20-9,20s,9,ROI.16 [],16,0
0717,20-9,20s,9,ROI.17 [],17,0
0717,20-9,20s,9,ROI.18 [],18,0
0717,20-9,20s,9,ROI.19 [],19,0
0717,20-9,20s,9,ROI.20 [],20,0
0717,20-9,20s,9,ROI.01 [],1,0
0717,20-9,20s,9,ROI.02 [],2,2
0717,20-9,20s,9,ROI.03 [],3,4
0717,20-9,20s,9,ROI.21 [],21,0
0717,20-9,20s,9,ROI.23 [],23,0
0717,20-9,20s,9,ROI.24 [],24,0
0717,20-9,20s,9,ROI.25 [],25,0
0717,2hz1,2Hz,1,ROI.04 [],4,0
0717,2hz1,2Hz,1,ROI.05 [],5,0
0717,2hz1,2Hz,1,ROI.06 [],6,0
0717,2hz1,2Hz,1,ROI.07 [],7,0
0717,2hz1,2Hz,1,ROI.08 [],8,1
0717,2hz1,2Hz,1,ROI.09 [],9,0
0717,2hz1,2Hz,1,ROI.10 [],10,2
0717,2hz1,2Hz,1,ROI.11 [],11,0
