dataset,source_folder,group,label,n_recordings,n_rois,n_events,events_per_roi_mean,events_per_roi_sem,responsive_fraction_mean,responsive_fraction_sem,event_amplitude_mean,event_amplitude_sem,n_latency_events,latency_from_stim_end_mean,latency_from_stim_end_sem
0717,0717N,Ctrl,No light,1,24,11,0.4583333333333333,0.0,0.20833333333333334,0.0,0.014517483149851977,0.003819462541140908,0,,
0717,0717N,Far,Far light,1,24,6,0.25,0.0,0.16666666666666666,0.0,0.011962084119234906,0.0046871018289213985,6,11.695333333333336,4.039517658224941
0717,0717N,5s,5 s,3,72,31,0.4305555555555555,0.055555555555555546,0.20833333333333334,0.02405626121623441,0.012561149408703185,0.0017393271399662985,30,17.714133333333333,2.022574849066562
0717,0717N,10s,10 s,3,72,15,0.20833333333333334,0.04811252243246882,0.18055555555555558,0.050077101048110965,0.01700920279872779,0.002855005907974973,15,13.41206666666667,2.2775441775374903
0717,0717N,20s,20 s,9,216,80,0.3703703703703704,0.058697788579194284,0.2361111111111111,0.041666666666666664,0.01347386243406858,0.001264969497561064,80,14.835850000000002,0.9997056842365838
0717,0717N,4mW,4 mW,1,24,3,0.125,0.0,0.041666666666666664,0.0,0.016081807550184006,0.003591030964577562,3,10.950000000000001,5.631775593303884
0717,0717N,2Hz,2 Hz,3,72,38,0.5277777777777778,0.060540263104731575,0.2916666666666667,0.024056261216234404,0.011340708797153844,0.0012682858665213545,38,11.856868421052633,1.3198613564474562
0717,0717N,5Hz,5 Hz,3,72,27,0.375,0.024056261216234418,0.18055555555555555,0.013888888888888897,0.015573584433051872,0.001365288919359225,27,14.763,1.7715855695391718
0718,0718,Ctrl,No light,1,15,0,0.0,0.0,0.0,0.0,,,0,,
0718,0718,Far,Far light,1,15,0,0.0,0.0,0.0,0.0,,,0,,
0718,0718,5s,5 s,6,90,1,0.011111111111111112,0.011111111111111112,0.011111111111111112,0.011111111111111112,0.0817712950472075,0.0,1,2.277000000000001,0.0
0718,0718,10s,10 s,6,90,9,0.09999999999999999,0.050917507721731564,0.05555555555555555,0.020487876571761973,0.018725299414029777,0.008207814500677549,9,15.337444444444442,2.212742372858164
0718,0718,20s,20 s,10,150,13,0.08666666666666667,0.04974006507910976,0.06666666666666667,0.03442651863295482,0.007483848882516063,0.0007021678048025157,13,12.972615384615384,2.149719682198486
0718,0718,1mW,1 mW,3,45,0,0.0,0.0,0.0,0.0,,,0,,
0718,0718,2mW,2 mW,3,45,5,0.1111111111111111,0.022222222222222223,0.1111111111111111,0.022222222222222223,0.021627491258599495,0.015512541570405266,5,11.477400000000001,4.715947440334762
0718,0718,2Hz,2 Hz,5,75,4,0.05333333333333333,0.024944382578492942,0.05333333333333333,0.024944382578492942,0.03552228903871417,0.017630948795006967,4,15.780750000000001,5.3241125297242435
0718,0718,5Hz,5 Hz,4,60,136,2.2666666666666666,0.7388680030465021,0.7833333333333333,0.21666666666666667,1.6597683368711234,0.3423614681570867,136,15.907727941176471,0.7017957884599332
