dataset,file,group,group_label,replicate,n_rois,total_events,responsive_rois,events_per_roi,responsive_fraction,mean_amplitude_dff,mean_latency_from_stim_end_s,group_order,dataset_order
0717,5hz2,5Hz,5 Hz,2,24,9,4,0.375,0.16666666666666666,0.015597868342094852,9.391777777777778,9,0
0717,5hz3,5Hz,5 Hz,3,24,10,5,0.4166666666666667,0.20833333333333334,0.01480332759757812,14.782700000000002,9,0
0718,Ctrl,Ctrl,No light,1,15,0,0,0.0,0.0,,,0,1
0718,Ctrl2,Far,Far light,1,15,0,0,0.0,0.0,,,1,1
0718,5s1,5s,5 s,1,15,0,0,0.0,0.0,,,2,1
0718,5s2,5s,5 s,2,15,0,0,0.0,0.0,,,2,1
0718,5s3,5s,5 s,3,15,1,1,0.06666666666666667,0.06666666666666667,0.0817712950472075,2.277000000000001,2,1
0718,5s4,5s,5 s,4,15,0,0,0.0,0.0,,,2,1
0718,5s5,5s,5 s,5,15,0,0,0.0,0.0,,,2,1
0718,5s6,5s,5 s,6,15,0,0,0.0,0.0,,,2,1
0718,10s1,10s,10 s,1,15,1,1,0.06666666666666667,0.06666666666666667,0.014439167652689,9.278999999999996,3,1
0718,10s2,10s,10 s,2,15,5,2,0.3333333333333333,0.13333333333333333,0.026011787028596932,18.9804,3,1
0718,10s3,10s,10 s,3,15,0,0,0.0,0.0,,,3,1
0718,10s4,10s,10 s,4,15,1,1,0.06666666666666667,0.06666666666666667,0.016441676959350834,3.283999999999999,3,1
0718,10s5,10s,10 s,5,15,2,1,0.13333333333333333,0.06666666666666667,0.0037939574856217435,15.285999999999998,3,1
0718,10s6,10s,10 s,6,15,0,0,0.0,0.0,,,3,1
0718,20-1,20s,20 s,1,15,0,0,0.0,0.0,,,4,1
0718,20-2,20s,20 s,2,15,1,1,0.06666666666666667,0.06666666666666667,0.008983880877629915,10.779000000000003,4,1
0718,20-3,20s,20 s,3,15,4,4,0.26666666666666666,0.26666666666666666,0.007441887481311876,9.154250000000001,4,1
0718,20-4,20s,20 s,4,15,7,4,0.4666666666666667,0.26666666666666666,0.006661831575111727,15.067285714285715,4,1
0718,20-5,20s,20 s,5,15,0,0,0.0,0.0,,,4,1
0718,20-6,20s,20 s,6,15,0,0,0.0,0.0,,,4,1
0718,20-7,20s,20 s,7,15,1,1,0.06666666666666667,0.06666666666666667,0.011905783644049336,15.777000000000001,4,1
0718,20-8,20s,20 s,8,15,0,0,0.0,0.0,,,4,1
0718,20-9,20s,20 s,9,15,0,0,0.0,0.0,,,4,1
0718,20-10,20s,20 s,10,15,0,0,0.0,0.0,,,4,1
0718,1mW1,1mW,1 mW,1,15,0,0,0.0,0.0,,,5,1
0718,1mw2,1mW,1 mW,2,15,0,0,0.0,0.0,,,5,1
0718,1mw3,1mW,1 mW,3,15,0,0,0.0,0.0,,,5,1
0718,2mw1,2mW,2 mW,1,15,2,2,0.13333333333333333,0.13333333333333333,0.0057343075673985215,19.527,6,1
0718,2mw2,2mW,2 mW,2,15,2,2,0.13333333333333333,0.13333333333333333,0.0065126766853922345,2.277000000000001,6,1
0718,2mW3,2mW,2 mW,3,15,1,1,0.06666666666666667,0.06666666666666667,0.08364348778741595,13.779000000000003,6,1
0718,2hz1,2Hz,2 Hz,1,15,2,2,0.13333333333333333,0.13333333333333333,0.0049885624558245745,17.778000000000006,8,1
0718,2hz2,2Hz,2 Hz,2,15,0,0,0.0,0.0,,,8,1
0718,2hz3,2Hz,2 Hz,3,15,0,0,0.0,0.0,,,8,1
0718,2hz4,2Hz,2 Hz,4,15,1,1,0.06666666666666667,0.06666666666666667,0.06614603298024295,4.777999999999992,8,1
0718,2hz5,2Hz,2 Hz,5,15,1,1,0.06666666666666667,0.06666666666666667,0.06596599826296459,22.789,8,1
0718,5hz1,5Hz,5 Hz,1,15,2,2,0.13333333333333333,0.13333333333333333,0.03289196484035951,14.285999999999994,9,1
0718,5hz2,5Hz,5 Hz,2,15,42,15,2.8,1.0,1.7123527010838249,17.065142857142856,9,1
0718,5hz3,5Hz,5 Hz,3,15,53,15,3.533333333333333,1.0,1.5451632231565255,14.46788679245283,9,1
0718,5hz4,5Hz,5 Hz,4,15,39,15,2.6,1.0,1.8423139900506562,16.701153846153844,9,1
