dataset,file,group,group_label,replicate,n_rois,total_events,responsive_rois,events_per_roi,responsive_fraction,mean_amplitude_dff,mean_latency_from_stim_end_s,group_order,dataset_order
0717,Ctrl,Ctrl,No light,1,24,11,5,0.4583333333333333,0.20833333333333334,0.014517483149851977,,0,0
0717,Ctrl2,Far,Far light,1,24,6,4,0.25,0.16666666666666666,0.011962084119234906,11.695333333333336,1,0
0717,5s1,5s,5 s,1,24,9,6,0.375,0.25,0.008210859022439312,12.059777777777775,2,0
0717,5s2,5s,5 s,2,24,13,5,0.5416666666666666,0.20833333333333334,0.014797673321756515,21.16638461538461,2,0
0717,5s3,5s,5 s,3,24,9,4,0.375,0.16666666666666666,0.013680905253890034,18.465375,2,0
0717,10-1,10s,10 s,1,24,5,5,0.20833333333333334,0.20833333333333334,0.013751424420309803,11.279600000000006,3,0
0717,10-2,10s,10 s,2,24,7,6,0.2916666666666667,0.25,0.017276034825179313,11.279,3,0
0717,10-3,10s,10 s,3,24,3,2,0.125,0.08333333333333333,0.021816225367704195,21.94333333333333,3,0
0717,20-1,20s,20 s,1,24,13,9,0.5416666666666666,0.375,0.015539311553367387,15.586846153846155,4,0
0717,20-2,20s,20 s,2,24,4,3,0.16666666666666666,0.125,0.02432556606909363,21.7765,4,0
0717,20-3,20s,20 s,3,24,9,6,0.375,0.25,0.010162437759879381,15.223222222222224,4,0
0717,20-4,20s,20 s,4,24,8,5,0.3333333333333333,0.20833333333333334,0.012008079126565027,16.217125000000003,4,0
0717,20-5,20s,20 s,5,24,10,6,0.4166666666666667,0.25,0.015275232938906341,16.5805,4,0
0717,20-6,20s,20 s,6,24,2,1,0.08333333333333333,0.041666666666666664,0.02350507888801577,15.277000000000001,4,0
0717,20-7,20s,20 s,7,24,10,8,0.4166666666666667,0.3333333333333333,0.012240781131930908,10.7788,4,0
0717,20-8,20s,20 s,8,24,16,10,0.6666666666666666,0.4166666666666667,0.009132711062047869,11.470500000000001,4,0
0717,20-9,20s,20 s,9,24,8,3,0.3333333333333333,0.125,0.015346928990841394,17.839000000000002,4,0
0717,4mW1,4mW,4 mW,1,24,3,1,0.125,0.041666666666666664,0.016081807550184006,10.950000000000001,7,0
0717,2hz1,2Hz,2 Hz,1,24,10,6,0.4166666666666667,0.25,0.010304010270490499,12.078299999999999,8,0
0717,2hz2,2Hz,2 Hz,2,24,15,8,0.625,0.3333333333333333,0.010640768486995023,10.7114,8,0
0717,2hz3,2Hz,2 Hz,3,24,13,7,0.5416666666666666,0.2916666666666667,0.012945792637078141,13.008230769230776,8,0
0717,5hz1,5Hz,5 Hz,1,24,8,4,0.3333333333333333,0.16666666666666666,0.016509086079720705,20.781000000000002,9,0
