ROI,n_spikes,spike_times_s
ROI.01 [],3,45.278;95.776;148.276
ROI.03 [],3,45.278;96.776;150.277
ROI.04 [],3,39.277;96.277;146.277
ROI.05 [],3,44.776;96.277;148.276
ROI.06 [],3,46.777;97.276;144.277
ROI.09 [],3,47.776;97.276;143.277
ROI.10 [],3,44.776;99.276;143.277
ROI.11 [],3,47.776;99.276;143.277
ROI.12 [],3,46.777;99.276;143.277
ROI.13 [],3,47.776;83.277;148.276
ROI.14 [],3,47.776;99.276;143.277
