Parameter,Replicate,ROI,spike_time_s
20,1,5,59.277
20,1,5,95.287
20,1,6,40.777
20,1,9,30.277
20,1,9,70.277
20,1,9,110.278
20,2,5,42.279
20,2,5,96.786
20,2,9,30.278
20,2,9,70.277
20,2,9,110.777
20,3,5,138.778
20,3,6,66.277
20,3,9,30.277
20,3,9,70.777
20,3,9,110.277
20,3,14,134.278
20,3,15,37.277
20,4,6,48.288
20,4,9,30.776
20,4,9,70.778
20,4,9,110.278
20,4,14,40.777
20,5,9,30.277
20,5,9,70.289
20,5,9,110.278
20,6,9,31.789
20,6,9,70.288
20,6,9,110.78
20,6,12,38.776
Ctrl,1,4,46.787
Ctrl,1,12,101.277
Ctrl,2,5,54.778
Ctrl,2,5,111.278
