ROI,Total_Spikes,Mean_per_replicate,SEM,n_replicates
ROI.01 [],5,1.6666666666666667,0.3333333333333333,3
ROI.03 [],5,1.6666666666666667,0.6666666666666667,3
ROI.04 [],2,2.0,0.0,1
ROI.05 [],1,1.0,0.0,1
ROI.06 [],4,1.0,0.0,4
ROI.09 [],10,1.4285714285714286,0.20203050891044214,7
ROI.10 [],13,1.3,0.15275252316519464,10
ROI.11 [],10,1.25,0.16366341767699427,8
ROI.12 [],13,1.4444444444444444,0.17568209223157663,9
ROI.13 [],12,1.3333333333333333,0.16666666666666666,9
ROI.14 [],19,2.111111111111111,0.8731240914167618,9
ROI.16 [],9,1.2857142857142858,0.18442777839082938,7
ROI.17 [],9,1.5,0.22360679774997896,6
ROI.18 [],13,1.625,0.18298126367784995,8
ROI.19 [],12,1.7142857142857142,0.3595159254890833,7
ROI.20 [],18,3.0,1.61245154965971,6
ROI.21 [],14,1.4,0.22110831935702666,10
ROI.22 [],33,2.75,0.7398300378117159,12
ROI.23 [],2,1.0,0.0,2
ROI.27 [],5,1.6666666666666667,0.6666666666666667,3
ROI.30 [],2,2.0,0.0,1
ROI.31 [],12,1.7142857142857142,0.2857142857142857,7
