Group_A,Group_B,n_A,n_B,Mean_A,Mean_B,p_value,Significance
10s,20s,6,6,0.10424778978103823,0.18936864720177737,0.015151515151515152,*
10s,2hz,6,4,0.10424778978103823,0.1472113948195089,0.9142857142857143,ns
10s,2mw,6,1,0.10424778978103823,0.0719081018275597,1.0,ns
10s,5hz,6,3,0.10424778978103823,0.23802794303955188,0.047619047619047616,*
10s,5s,6,4,0.10424778978103823,0.18342435824485467,0.47619047619047616,ns
10s,Ctrl,6,1,0.10424778978103823,0.030878196463969,1.0,ns
10s,Far Light Control,6,1,0.10424778978103823,0.08268169367040093,1.0,ns
20s,2hz,6,4,0.18936864720177737,0.1472113948195089,0.47619047619047616,ns
20s,2mw,6,1,0.18936864720177737,0.0719081018275597,1.0,ns
20s,5hz,6,3,0.18936864720177737,0.23802794303955188,0.38095238095238093,ns
20s,5s,6,4,0.18936864720177737,0.18342435824485467,1.0,ns
20s,Ctrl,6,1,0.18936864720177737,0.030878196463969,1.0,ns
20s,Far Light Control,6,1,0.18936864720177737,0.08268169367040093,1.0,ns
2hz,2mw,4,1,0.1472113948195089,0.0719081018275597,1.0,ns
2hz,5hz,4,3,0.1472113948195089,0.23802794303955188,0.4,ns
2hz,5s,4,4,0.1472113948195089,0.18342435824485467,0.6857142857142857,ns
2hz,Ctrl,4,1,0.1472113948195089,0.030878196463969,1.0,ns
2hz,Far Light Control,4,1,0.1472113948195089,0.08268169367040093,1.0,ns
2mw,5hz,1,3,0.0719081018275597,0.23802794303955188,1.0,ns
2mw,5s,1,4,0.0719081018275597,0.18342435824485467,1.0,ns
2mw,Ctrl,1,1,0.0719081018275597,0.030878196463969,1.0,ns
2mw,Far Light Control,1,1,0.0719081018275597,0.08268169367040093,1.0,ns
5hz,5s,3,4,0.23802794303955188,0.18342435824485467,0.6285714285714286,ns
5hz,Ctrl,3,1,0.23802794303955188,0.030878196463969,1.0,ns
5hz,Far Light Control,3,1,0.23802794303955188,0.08268169367040093,1.0,ns
5s,Ctrl,4,1,0.18342435824485467,0.030878196463969,1.0,ns
5s,Far Light Control,4,1,0.18342435824485467,0.08268169367040093,1.0,ns
Ctrl,Far Light Control,1,1,0.030878196463969,0.08268169367040093,1.0,ns
