ROI,Spike_Count,Avg_Latency_s,Median_Latency_s,Std_Latency_s,SEM_Latency_s
ROI.01 [],5,16.7808,17.783,11.188343384969915,5.0035792728805655
ROI.03 [],5,22.979,25.777,14.78952384290988,6.614076133520082
ROI.04 [],2,20.527,20.527,21.5667568261897,15.249999999999998
ROI.05 [],1,25.277,25.277,,
ROI.06 [],4,28.654,28.7805,19.19882404384879,9.599412021924396
ROI.09 [],10,21.0815,22.528999999999996,11.075379935795533,3.5023426548843313
ROI.10 [],13,24.125692307692308,24.27799999999999,10.6835297879853,2.9630780348867636
ROI.11 [],10,23.5319,23.031999999999996,10.012203192438054,3.1661366484513387
ROI.12 [],13,23.86184615384616,24.27799999999999,14.035365354739636,3.8927099581834295
ROI.13 [],12,22.906166666666664,23.781999999999996,11.702449027550779,3.3782060481171583
ROI.14 [],19,22.991368421052634,22.778,14.267586902605213,3.27320891982319
ROI.16 [],9,23.559555555555555,24.77799999999999,9.476753955219992,3.1589179850733307
ROI.17 [],9,25.613555555555553,23.27799999999999,10.691421059792647,3.5638070199308824
ROI.18 [],13,25.62369230769231,24.27799999999999,10.089992842618997,2.798460504855958
ROI.19 [],12,25.61691666666667,23.030999999999995,9.517808031248427,2.7475545144682307
ROI.20 [],18,25.361944444444443,26.027499999999996,14.075129126864466,3.317539750560718
ROI.21 [],14,20.20871428571428,17.778,13.190433966317414,3.525291763201818
ROI.22 [],33,22.493060606060606,18.278,16.306795845481485,2.8386487969295287
ROI.23 [],2,31.52749999999999,31.52749999999999,39.2437192490722,27.749499999999998
ROI.27 [],5,27.581,27.276,20.676188659905385,9.246672671831744
ROI.30 [],2,47.777499999999996,47.777499999999996,2.82772001796499,1.9994999999999905
ROI.31 [],12,29.988083333333336,31.781,16.28686201406371,4.701612084036987
