ROI,n_spikes,spike_times_s
ROI.E [],2,144.295;154.278
ROI.09 [],2,144.295;154.278
ROI.10 [],2,144.778;154.278
ROI.11 [],2,142.777;154.278
ROI.12 [],2,144.295;154.278
ROI.13 [],2,142.777;155.778
ROI.14 [],2,142.777;154.778
ROI.16 [],2,144.778;154.778
ROI.17 [],2,143.778;153.278
ROI.18 [],2,142.777;154.278
ROI.19 [],2,144.295;153.278
ROI.20 [],2,147.778;153.278
ROI.21 [],2,144.778;154.278
