ROI,n_spikes,spike_times_s
ROI.01 [],3,49.775;91.276;136.276
ROI.02 [],3,49.775;91.276;140.779
ROI.04 [],3,41.276;91.276;145.777
ROI.05 [],3,49.775;91.276;148.276
ROI.03 [],3,49.775;91.276;138.777
ROI.06 [],3,49.775;91.276;136.276
ROI.07 [],3,49.775;91.276;140.779
ROI.08 [],3,50.777;100.777;150.277
ROI.09 [],3,49.775;91.276;141.276
ROI.10 [],3,49.775;91.276;145.777
ROI.11 [],3,49.775;91.276;140.779
ROI.12 [],3,49.775;91.276;141.276
ROI.13 [],3,49.775;91.276;141.276
ROI.14 [],3,49.775;90.778;140.779
