ROI,n_latencies,mean_latency_s,median_latency_s,std_latency_s,min_latency_s,max_latency_s
ROI.C [],1,23.778999999999996,23.778999999999996,0.0,23.778999999999996,23.778999999999996
ROI.A [],1,25.277,25.277,0.0,25.277,25.277
ROI.B [],1,25.777,25.777,0.0,25.777,25.777
ROI.D [],1,46.787000000000006,46.787000000000006,0.0,46.787000000000006,46.787000000000006
ROI.01 [],1,24.789,24.789,0.0,24.789,24.789
ROI.03 [],1,25.777,25.777,0.0,25.777,25.777
ROI.04 [],1,25.277,25.277,0.0,25.277,25.277
ROI.05 [],1,25.277,25.277,0.0,25.277,25.277
ROI.06 [],1,25.277,25.277,0.0,25.277,25.277
ROI.22 [],1,46.787000000000006,46.787000000000006,0.0,46.787000000000006,46.787000000000006
ROI.27 [],1,26.78,26.78,0.0,26.78,26.78
