Condition_A,Condition_B,n_ROIs,Spearman_rho,p_value,Significance
10s,20s,15,-0.2101967799642218,0.452096208201335,ns
10s,2hz,5,-0.49999999999999994,0.39100221895577053,ns
10s,5hz,15,-0.6537636388100453,0.008205077177806675,**
10s,5s,3,0.0,1.0,ns
20s,2hz,7,0.7748062179181807,0.04076946252042033,*
20s,2mw,3,0.8660254037844387,0.3333333333333332,ns
20s,5hz,17,0.3633615536735558,0.15168231130885168,ns
20s,5s,6,0.057977103565244846,0.9131317851623264,ns
20s,Ctrl,3,-1.0,0.0,***
2hz,5hz,7,-0.198206241793023,0.6700850339168266,ns
2hz,5s,4,0.0,1.0,ns
2hz,Ctrl,3,0.8660254037844387,0.3333333333333332,ns
2mw,5s,3,0.8660254037844387,0.3333333333333332,ns
5hz,5s,5,0.10259783520851541,0.8695979205185651,ns
5hz,Ctrl,3,-1.0,0.0,***
5s,Ctrl,3,1.0,0.0,***
Ctrl,ctrl,3,-0.8660254037844387,0.3333333333333332,ns
