ROI,n_spikes,spike_times_s
ROI.23 [],4,85.778;109.779;133.778;160.779
ROI.16 [],2,12.777;119.788
ROI.E [],1,119.788
ROI.F [],1,198.778
ROI.11 [],1,118.276
ROI.12 [],1,119.788
ROI.09 [],1,118.790
ROI.10 [],1,119.788
ROI.14 [],1,119.277
ROI.13 [],1,120.277
ROI.18 [],1,119.277
ROI.17 [],1,119.277
ROI.19 [],1,119.277
ROI.20 [],1,119.277
ROI.21 [],1,119.788
ROI.31 [],1,197.778
