Time (s),ROI.01 [],ROI.02 [],ROI.03 [],ROI.04 [],ROI.05 [],ROI.06 [],ROI.07 []
0.257,0.0,0.06807490136124893,0.04560655036896084,0.10319469937270669,0.01428834485903306,0.12813474568758318,0.10915425551840503
0.778,0.0,0.06803103667932602,0.04974949584465988,0.06047783883157086,0.012115715344620416,0.14599489254816345,0.09953947667012533
1.278,0.0,0.0698071201768903,0.04519549860814564,0.035652474062200276,0.006749504469344328,0.14615918258304103,0.09210525268916
1.776,0.0,0.06930173330856562,0.03924692512166326,0.04866533999481269,0.007488926295198944,0.13294177387441672,0.10839095579347892
2.283,0.0,0.07088898798806446,0.033511780002978844,0.0399064035594569,0.010039476607539113,0.12635638414069147,0.09943727807481778
2.786,0.0,0.054743802454894436,0.02973892851243159,0.02999908515820092,0.0073198646214262955,0.1125083281173794,0.094706791433936
3.277,0.0,0.056614808862883566,0.013745753849786994,-0.006313919578238591,0.0026148367852026873,0.0998516195575339,0.08182984146833111
3.779,0.0,0.0703863677157805,0.038103027797165685,0.04901731525638846,0.0036588476409351468,0.09784184533358284,0.10259195615667259
4.283,0.0,0.0626776395590717,0.02891956615281584,0.05075358075181638,0.004710885542698621,0.09069328698580169,0.10030436823589757
4.785,0.0,0.06197621063523282,0.018517494252714078,0.056426704693170564,0.005141120899806735,0.08629697233181438,0.10415784384322578
5.287,0.0,0.06440710242572924,0.03426804363934372,0.0507892241726175,0.005608916787120072,0.08123373710422822,0.09418141487455725
5.777,0.0,0.05707457259511939,0.02358433342944755,0.04687881073375452,0.0017914359183470682,0.06772085163700975,0.0907419692678803
6.297,0.0,0.05434152673044333,0.023835439349137736,0.04009276240633078,0.003491651079022899,0.06541595873062217,0.09812035381747948
6.779,0.0,0.05012999763429486,0.023682416766389575,0.018908834004006156,0.0038884643573216457,0.06163319601369833,0.08447285985930211
7.279,0.0,0.05172970449614997,0.021307597666483487,0.0716783473766823,0.0038274655152144986,0.05678978384975278,0.06085188984776158
7.779,0.0,0.04066730251895965,0.01916411654829496,0.036072805536753155,0.0003516034033375954,0.047611059480544844,0.06334938686565622
8.277,0.0,0.03401009422423442,0.001768488137363739,0.010531946107881718,0.00047867034120339664,0.04480774936599173,0.044228585006822585
8.776,0.0,0.038411009654721225,0.0020876743453662142,0.028423044934574215,0.0038642124507159395,0.04181368778744792,0.04032832001730205
9.286,0.0,0.03782358932907503,0.012942236383474163,0.048732749444549625,0.0008281626967475016,0.04310853445989797,0.031729395416047586
9.779,0.0,0.03252657685586618,-0.0027435043881988163,0.017457822332136566,0.0018865783904969129,0.03592731711345876,0.06090789191121911
10.279,0.0,0.02942429491120314,0.021641736598534373,0.026368914152323567,0.0027956439657780994,0.040926672122432416,0.032265761786282425
10.779,0.0,0.039803580959854645,0.015800261484645563,0.04049892803317706,0.00515021546853681,0.04169339574303415,0.06785048238728678
11.277,0.0,0.028717515301927194,0.005233609651599955,0.02719744321346317,0.0020837486191539866,0.03516050039218437,0.021669193518897158
11.788,0.0,0.03316532477950443,0.0169035454812187,0.027469382471233976,0.003037126005584059,0.03722625697363773,0.024364864368087442
12.279,0.0,0.038617675484185605,0.015098021126237017,0.04941384789599232,0.006617545675938975,0.036456510553002926,0.04444809447630863
12.777,0.0,0.03177205355002938,0.018538523939929167,0.041890804140964154,0.004300802573270097,0.03541098096172268,0.052562688745163275
13.277,0.0,0.02455064384104557,0.014119755770356106,0.0009521419553985618,0.0030297568580403647,0.03316195627849039,0.03977739684071416
13.787,0.0,0.02081933172907283,-0.00043621540444657573,0.014234256775972454,0.0012055400637687144,0.03083881604348192,0.03562794621776491
14.277,0.0,0.03188434797354301,0.017762034133307316,0.028325831853785743,0.0033248156969694904,0.028292562155399326,0.05704743416832835
14.777,0.0,0.025094667114908584,0.012967653318200018,0.05730158694103749,0.0003310196363364683,0.02701778377937839,0.03247624498471904
15.278,0.0,0.027932440077402095,0.019510203974893833,0.047672578626028514,0.005911366287921952,0.02717274903310085,0.014883085310218164
15.788,0.0,0.020584767635616622,0.011984915149019509,0.021811680481298796,0.003941325214623488,0.025651981088470353,0.04135632888688387
16.277,0.0,0.026363589829780633,0.003156123083014889,0.031177832038799827,0.0047371419647034094,0.02549924842000891,0.03054748491878813
16.777,0.0,0.017150392331309338,0.010590285018841235,0.02029084147883231,0.006604891482245426,0.027235967823085114,0.03330232153824144
17.282,0.0,0.008841604164539888,0.004396662783061596,0.020765749494501246,0.11373107744272468,0.1719786376765134,0.01883309356461527
17.784,0.0,0.014929499121213373,0.0060904533660494555,0.025396594460712768,0.15607888796524277,0.24294750575661403,0.016683070000728165
18.285,0.0,0.004465529465575624,0.01804816179061674,-0.01084894835931362,0.9310254812444989,1.8606620210107734,0.0304377218019319
18.779,0.0,0.011751577482623959,0.007607024817317733,0.026147825533066583,0.9740861371540491,1.9735161558792464,0.0017325302262168076
19.278,0.0,0.01630381096084046,0.012746269806544955,0.03056487934769543,0.9839606120038206,1.9955568113718425,0.038982644269494535
19.777,0.0,0.014334354979711889,0.0016131124499810458,0.03493634941661998,0.9865334384913557,2.0015712233567613,0.028987245442051265
20.277,0.0,0.008355521455692948,-0.006040198485929537,0.042559833302327654,1.1632280385041358,2.5237727603019584,0.03251385694890483
20.777,0.0,0.005747765271870673,0.005010876002827313,0.013196623471970353,1.1757712609945448,2.574747646228278,-0.0029809270663163855
21.287,0.0,0.011447382963267734,0.00818611084778459,0.04666227073053571,1.1757342677774307,2.5710855737270695,0.04699040496840369
21.778,0.0,0.012494227928931961,0.0036468884136662445,-0.0017486934298893196,1.1803652118654493,2.6097798434759065,0.011637429673208934
22.287,0.0,5.791584931287565e-05,0.012312103588673113,-0.0011431508488167032,1.181416200464614,2.60267121653456,0.005394205725841079
22.777,0.0,0.019169495432677413,0.009674261673895125,0.047685276559721025,1.1831173973710625,2.6086892403960222,0.01584698979525367
23.287,0.0,0.0043903109769229485,0.0019029212995299066,-0.002093677449381459,1.1721623105474528,2.62494114281003,-0.0023927916973628333
23.778,0.0,-0.0004321168211775265,0.010247337445163799,0.014241158916103688,1.1775646293421451,2.641110098577717,0.031958993248603906
24.277,0.0,0.002650515614527063,0.011241766349030343,0.020779824262001253,1.1768024524889171,2.6507661361433525,0.018947017923319775
24.787,0.0,0.00717303724725583,0.008519661341426975,0.031027570842486512,1.192377285275445,2.701673133626045,0.012101745954297997
25.277,0.0,-0.004067073626084387,-0.004054038115833062,-0.009128458930189045,1.1918744101206054,2.6805895507101583,0.009877233647027472
25.779,0.0,0.006350790057285893,0.0112125925423491,0.05747107670017872,1.1998945780951897,2.7144442477843693,0.012548461666882525
