Term,Coefficient,Std_Error,z_value,p_value,Significance
Intercept,0.27228548080766757,0.10580379935960779,2.573494358952262,0.010067728806786523,*
C(condition_group)[T.red],-0.046807487739599835,0.1261996153019924,-0.3709003995581978,0.7107117175447188,ns
ROI (random effect var),0.016288158048281775,,,,
