ROI,Spike_Count,Avg_Latency_s,Median_Latency_s,Std_Latency_s,SEM_Latency_s
ROI.01 [],9,30.727,28.276000000000003,10.640707037128687,3.546902345709562
ROI.02 [],7,36.27957142857143,35.28399999999999,11.297559409848112,4.270076088633678
ROI.03 [],2,30.5285,30.5285,2.4769950544964763,1.7515
ROI.06 [],9,29.560111111111112,27.784,9.907945617589501,3.3026485391965004
ROI.07 [],3,41.11033333333334,38.777,15.630173842070132,9.024085075199839
ROI.08 [],2,35.532999999999994,35.532999999999994,13.074404384139259,9.244999999999996
ROI.09 [],2,32.78150000000001,32.78150000000001,4.2504188617123395,3.0055000000000014
ROI.10 [],5,34.38199999999999,34.287000000000006,6.964017734038308,3.114403409964741
ROI.11 [],10,32.829899999999995,31.030500000000004,9.671466905283811,3.0583863735636805
ROI.13 [],2,30.5285,30.5285,2.4769950544964763,1.7515
