ROI,n_spikes,spike_times_s
ROI.06 [],8,70.275;76.284;82.786;87.776;98.287;117.777;133.777;203.776
ROI.24 [],5,57.281;70.275;117.777;163.277;204.776
ROI.09 [],4,85.278;92.282;105.285;195.276
ROI.000 [],2,117.777;126.777
ROI.05 [],2,117.777;133.777
ROI.07 [],2,117.777;203.776
ROI.21 [],2,123.795;180.792
ROI.17 [],2,72.778;147.276
ROI.04 [],2,117.777;204.776
ROI.03 [],1,117.777
ROI.12 [],1,117.777
ROI.08 [],1,117.777
ROI.10 [],1,19.277
ROI.19 [],1,117.777
ROI.18 [],1,117.777
ROI.13 [],1,117.777
ROI.23 [],1,117.777
