Parameter,Replicate,ROI,spike_time_s
20,1,5,50.788
20,1,15,192.279
20,1,16,169.788
20,2,15,51.285
20,2,15,151.278
20,3,14,101.277
2hz,1,5,187.277
2hz,1,14,186.276
2hz,1,15,182.276
2hz,1,16,189.777
2hz,1,19,189.777
2hz,2,5,189.276
2hz,2,14,183.276
2hz,2,15,186.777
2hz,2,16,191.279
2hz,2,19,186.277
2hz,3,5,189.277
2hz,3,14,185.776
2hz,3,15,191.778
2hz,3,16,182.779
2hz,3,19,189.778
Ctrl,2,15,151.278
