ROI,n_spikes,spike_times_s
ROI.02 [],3,47.776;88.777;149.776
ROI.03 [],3,49.276;93.777;149.776
ROI.04 [],3,47.776;92.277;145.777
ROI.05 [],3,42.775;86.777;145.777
ROI.07 [],3,49.276;83.777;141.277
ROI.08 [],3,47.776;82.776;145.777
ROI.12 [],3,42.775;83.777;149.277
ROI.13 [],3,47.776;82.776;135.277
ROI.14 [],3,47.776;93.777;145.777
