ROI,n_spikes,spike_times_s
ROI.18 [],12,53.275;70.287;77.777;101.295;115.298;155.795;160.276;169.282;175.280;186.277;196.777;204.277
ROI.12 [],11,53.275;70.287;76.778;101.295;115.298;156.277;160.276;169.282;175.280;186.277;204.277
ROI.13 [],10,52.275;70.287;76.778;106.277;115.298;155.795;169.282;175.280;186.277;203.286
ROI.19 [],8,53.275;70.287;76.778;101.778;160.276;168.794;186.277;204.277
ROI.05 [],8,52.786;76.778;101.778;151.278;169.282;175.280;186.786;198.277
ROI.23 [],6,76.778;101.778;155.795;160.276;169.282;204.277
ROI.02 [],3,37.277;96.776;130.777
ROI.11 [],3,37.277;93.776;130.777
ROI.09 [],3,33.777;92.776;130.777
ROI.15 [],3,38.778;90.276;130.777
ROI.14 [],3,49.276;90.276;130.277
ROI.10 [],3,34.777;82.775;144.776
ROI.16 [],3,35.277;90.276;130.777
ROI.21 [],3,37.777;96.776;132.777
ROI.20 [],3,34.777;93.776;146.775
ROI.22 [],2,90.276;131.782
ROI.17 [],1,90.788
