ROI,n_spikes,spike_times_s
ROI.01 [],3,35.777;87.777;132.777
ROI.02 [],3,50.276;87.777;132.777
ROI.04 [],3,43.777;88.277;139.778
ROI.05 [],3,50.276;98.276;145.277
