Time (s),ROI.01 [],ROI.02 [],ROI.000 [],ROI.04 [],ROI.05 [],ROI.03 [],ROI.06 [],ROI.07 [],ROI.08 [],ROI.09 [],ROI.10 [],ROI.11 [],ROI.12 [],ROI.13 [],ROI.14 []
0.258,-0.005476893152505285,-0.00038824358376402353,0.0,0.02143412906025811,-8.026722425751071e-05,0.004512781330682764,0.010989538890867703,-0.00026106803627023696,0.0021480127367173875,0.0048854209005327965,-0.004792864167975225,-0.008507708143602605,0.03513907812589705,0.004512781330682764,-0.0004929930726606013
0.779,0.02434224705502592,0.01730902104369386,0.0,0.043566270499321914,0.002331098765944746,0.02362052159132113,0.037462684176261044,0.016861121311506577,0.01526239939646715,0.030096089319659493,0.014214540704990751,0.026518437670778605,0.04749364336789161,0.02362052159132113,0.004481529466212424
1.278,0.030652787548877562,0.020774508528618205,0.0,0.0447774822550746,0.02604006303783483,0.02858377567947793,0.04286564375089281,0.0238706699493528,0.014572688448182424,0.03747054077926611,0.03372373080432957,0.04511509195859986,0.03416951332468928,0.02858377567947793,0.016816335384964708
1.787,0.041081844801855234,0.026827564360838836,0.0,0.05715886171187471,0.02680517911657722,0.0384637175492241,0.04131057073385198,0.027996939503979506,0.008695743735573323,0.03179599895545734,0.04066307779060001,0.051708775754833305,0.06824132843250562,0.0384637175492241,0.022349517859091235
2.276,0.048118281802263733,0.018902613693724406,0.0,0.06340091573448033,0.025431376862132576,0.052935749032164,0.05101538185682559,0.021281816408366693,0.01561351765034922,0.02195216460080173,0.022358726966839916,0.059720768742162283,0.0865952684037522,0.052935749032164,0.017096584746181368
2.777,0.033617551370824776,0.007363137783377721,0.0,0.03592272797803332,0.010916847515016636,0.03330351043476941,0.03592963371723929,0.005443288302622297,0.004853015198283711,0.006253320526668038,0.025203386806853204,0.0557497347984764,0.019932234141397297,0.03330351043476941,0.013113281313434384
3.276,0.028990995747757344,0.004694922565868306,0.0,0.0006215637151525666,5.016097573754751e-05,0.015414094044269083,0.030806190094442333,0.008426807319172745,0.0003849090838781442,0.0005120559716256366,0.019498381260395232,0.05620313138339276,-0.00029610256325706704,0.015414094044269083,0.0005851425599368352
3.784,0.016393170124498486,-0.007971364771192728,0.0,0.011051635297284118,-0.01081152635162332,-0.0064587584434157835,0.020135338470010686,0.0028676698018202146,-0.011498224618703186,-0.014493753687776311,0.006395355075217227,0.05645405109792822,1.4804251447524404e-05,-0.0064587584434157835,-0.013952045150787738
4.277,-0.003040458870132966,-0.007442879939722875,0.0,-0.042431969176937534,-0.012632987147576987,-0.01375676227939823,0.007180805945671128,-0.0020976288979636833,0.004056223837315679,0.006461458421916399,-0.0024228541506635874,0.007976333256071723,-0.048496480465019545,-0.01375676227939823,-0.016776981922938684
4.778,0.010499549747247636,0.007402459367547337,0.0,0.00790742459573813,0.016750235133221426,0.021309398213891877,0.02100078039397881,0.015666384972230316,-0.00038943255563090575,0.011020435848896969,0.015428290782712628,0.018171881563984926,0.01504078580307178,0.021309398213891877,0.01119805145025951
5.287,0.004083374022249513,-0.0006621970479019208,0.0,-0.006374600344056689,0.01725320424480185,0.008473475835793174,-0.0002251060142766214,0.00945164915211224,-0.00038535406271589034,0.0013970509669177767,0.004936356948696309,0.038036156671123575,-0.006823113857706491,0.008473475835793174,0.017838392212843727
5.777,0.010915126440828319,0.00850232763964383,0.0,0.0326370623289669,0.017506862888084458,0.0053146609891628295,0.010091960138220647,0.01810912369262515,0.0065641069034339285,0.0068718709041391615,0.01645613173766913,0.025200487309053433,0.047119878087247775,0.0053146609891628295,0.013802570329506431
6.277,0.007123164307734315,0.00780225368786139,0.0,-0.004461195658562265,0.011048606967331748,0.011365270497930428,0.01578691881704897,0.008474685007527183,0.008160626150093211,0.004462893895659986,0.018734163350058366,0.019652604458347503,0.008108162674400565,0.011365270497930428,0.009621177965276551
6.788,0.008958339565491072,0.016723452627888862,0.0,0.04155865250600307,0.01791844329542776,0.027179340955930414,0.03888912279133862,0.013877660964586829,0.012131849321618999,0.014796608729614358,0.0314332975688954,-0.002098234063293049,0.045347606936396515,0.027179340955930414,0.011875832178189586
