Condition,ROI,Spike_Count,Avg_Latency_s,Median_Latency_s,Std_Latency_s
10s1,ROI.000 [],1,17.777,17.777,
10s1,ROI.06 [],4,21.528750000000002,15.031500000000001,23.84140355732719
10s1,ROI.11 [],3,21.94633333333334,12.287000000000006,20.303375097094904
10s1,[10s1 TOTAL],8,21.216375000000003,15.032000000000004,19.06196580281943
10s2,ROI.000 [],2,10.276499999999999,10.276499999999999,10.607308824579404
10s2,ROI.07 [],4,15.280250000000002,11.528000000000006,10.997531249482009
10s2,ROI.08 [],3,17.61466666666667,13.278000000000006,13.04626553207213
10s2,ROI.09 [],1,33.287000000000006,33.287000000000006,
10s2,ROI.10 [],1,30.777,30.777,
10s2,[10s2 TOTAL],11,18.052909090909086,13.278000000000006,11.670535484325862
10s3,ROI.000 [],2,49.27799999999999,49.27799999999999,26.16436511746464
10s3,ROI.11 [],6,32.197833333333335,24.27950000000001,32.161705784467756
10s3,[10s3 TOTAL],8,36.467875,28.528999999999996,29.98582697798364
10s4,ROI.000 [],13,32.050615384615384,25.279,25.195793632200004
10s4,[10s4 TOTAL],13,32.050615384615384,25.279,25.195793632200004
10s5,ROI.000 [],24,30.133791666666667,25.030000000000005,20.287040528117764
10s5,[10s5 TOTAL],24,30.133791666666667,25.030000000000005,20.287040528117764
10s6,ROI.000 [],8,36.469,31.278,16.292528445359768
10s6,ROI.06 [],5,28.781200000000002,31.77800000000001,24.297294431685188
10s6,[10s6 TOTAL],13,33.51215384615385,31.77800000000001,19.15161564919156
1mW1,ROI.000 [],9,31.502777777777776,40.287000000000006,18.597501665397008
1mW1,[1mW1 TOTAL],9,31.502777777777776,40.287000000000006,18.597501665397008
1mW2,ROI.000 [],1,6.284999999999997,6.284999999999997,
1mW2,ROI.06 [],8,21.592125,16.278999999999996,17.29077668616174
1mW2,ROI.11 [],2,36.032500000000006,36.032500000000006,13.796360407730736
1mW2,[1mW2 TOTAL],11,22.82609090909091,17.278999999999996,17.08140455263879
1mW3,ROI.000 [],1,29.77799999999999,29.77799999999999,
1mW3,[1mW3 TOTAL],1,29.77799999999999,29.77799999999999,
20s1,ROI.000 [],1,44.279,44.279,
20s1,ROI.04 [],19,21.25547368421052,20.78700000000001,14.482771632254877
20s1,ROI.06 [],6,31.030499999999993,32.528499999999994,12.784331327840343
20s1,ROI.09 [],7,27.780714285714293,27.27800000000001,15.996812898348283
20s1,ROI.11 [],7,23.134999999999998,25.277,15.291085976258634
20s1,[20s1 TOTAL],40,24.76815,25.2835,14.731453585649781
20s2,ROI.000 [],2,32.027499999999996,32.027499999999996,24.394476844154692
20s2,ROI.04 [],5,35.48159999999999,33.78,13.777136052169906
20s2,ROI.06 [],2,48.02699999999999,48.02699999999999,1.7677669529663689
20s2,ROI.09 [],17,27.897058823529413,27.276999999999987,15.264432467629563
20s2,ROI.11 [],1,9.787999999999997,9.787999999999997,
20s2,[20s2 TOTAL],27,30.427962962962965,29.788,15.65575150023265
20s3,ROI.000 [],4,19.285000000000004,14.784000000000006,18.47333252736676
20s3,ROI.02 [],2,19.27799999999999,19.27799999999999,22.627416997969522
20s3,ROI.04 [],14,28.245214285714287,24.777499999999996,14.44405231430023
20s3,ROI.05 [],2,23.278999999999996,23.278999999999996,25.45725833627809
20s3,ROI.06 [],9,29.559111111111104,32.777,16.102504001276046
20s3,ROI.07 [],2,22.52749999999999,22.52749999999999,27.22290396890089
20s3,ROI.08 [],2,23.776999999999987,23.776999999999987,25.45584412271571
20s3,ROI.09 [],2,20.528500000000008,20.528500000000008,23.69161270365527
20s3,ROI.10 [],2,19.27799999999999,19.27799999999999,22.627416997969522
20s3,ROI.11 [],3,24.616666666666674,26.77800000000001,21.33426880240646
20s3,ROI.12 [],2,23.02799999999999,23.02799999999999,26.515090080933152
20s3,[20s3 TOTAL],44,25.36015909090909,26.02800000000001,16.499386280260982
20s4,ROI.000 [],5,29.3812,32.77600000000001,14.820011056001272
20s4,ROI.04 [],7,26.06628571428571,34.27699999999999,15.369761576054518
20s4,ROI.06 [],6,27.9495,26.783500000000004,13.629400467371996
20s4,ROI.11 [],6,24.700833333333332,26.5375,16.693655242836023
20s4,[20s4 TOTAL],24,26.88633333333333,32.53200000000001,14.278855293501424
20s5,ROI.000 [],1,33.27799999999999,33.27799999999999,
20s5,ROI.04 [],25,26.701800000000002,27.27799999999999,16.441708551222206
20s5,ROI.06 [],3,21.951000000000004,26.288,9.297887233129911
20s5,ROI.11 [],6,20.362666666666666,13.777999999999999,19.516890414885943
20s5,[20s5 TOTAL],35,25.395771428571432,26.288,16.140673593870414
20s6,ROI.000 [],3,23.950666666666663,19.788,23.029901461650528
20s6,ROI.02 [],1,9.778999999999996,9.778999999999996,
20s6,ROI.04 [],7,13.06757142857143,15.778000000000006,8.74860278096152
20s6,ROI.05 [],1,7.778999999999996,7.778999999999996,
20s6,ROI.06 [],15,22.614266666666666,19.277,15.154521925186307
20s6,ROI.07 [],1,11.278999999999996,11.278999999999996,
20s6,ROI.08 [],1,6.287999999999997,6.287999999999997,
20s6,ROI.09 [],1,8.787999999999997,8.787999999999997,
20s6,ROI.10 [],3,10.278666666666666,9.778999999999996,3.776374231102279
20s6,ROI.11 [],11,20.693818181818184,18.790000000000006,13.383119754513006
20s6,ROI.12 [],2,12.530500000000004,12.530500000000004,3.1855160492453924
20s6,[20s6 TOTAL],46,18.043065217391305,14.5315,13.265285719420987
20s7,ROI.000 [],1,28.77799999999999,28.77799999999999,
20s7,ROI.04 [],7,26.637428571428565,21.289,15.90296534043408
20s7,ROI.06 [],1,7.780000000000001,7.780000000000001,
20s7,ROI.11 [],8,26.469125,28.533499999999997,14.12511520496634
20s7,[20s7 TOTAL],17,25.574882352941177,26.77800000000001,14.263756929199754
20s8,ROI.000 [],2,37.532500000000006,37.532500000000006,13.782218272106993
20s8,ROI.06 [],9,25.44622222222222,19.788999999999987,16.26833390960625
20s8,ROI.11 [],19,26.070315789473682,27.277,15.073333683667371
20s8,[20s8 TOTAL],30,26.647233333333336,26.777,15.146639310155706
2Hz1,ROI.000 [],2,31.278499999999994,31.278499999999994,9.898787829830473
2Hz1,ROI.11 [],12,22.65758333333334,25.78300000000001,14.588319234350934
2Hz1,[2Hz1 TOTAL],14,23.889142857142865,27.033500000000004,14.0504631834801
2Hz2,ROI.000 [],16,24.9686875,28.031499999999994,15.427608796002707
2Hz2,ROI.11 [],1,10.777999999999992,10.777999999999992,
2Hz2,[2Hz2 TOTAL],17,24.133941176470586,26.785,15.329091388886154
2Hz3,ROI.000 [],21,23.399285714285714,23.279,13.412491368656521
2Hz3,ROI.06 [],15,30.31526666666667,28.777,12.718782272499125
2Hz3,ROI.11 [],9,26.33544444444444,26.279,16.657833743550746
2Hz3,[2Hz3 TOTAL],45,26.291844444444447,26.279,13.899845183826454
2Hz5,ROI.000 [],21,25.398952380952384,27.77799999999999,16.141697684804377
2Hz5,[2Hz5 TOTAL],21,25.398952380952384,27.77799999999999,16.141697684804377
2Hz6,ROI.000 [],27,24.243740740740744,22.276,15.102426345032198
2Hz6,ROI.06 [],15,31.112800000000004,35.277,14.791387243933547
2Hz6,[2Hz6 TOTAL],42,26.69697619047619,24.782000000000004,15.180335131568619
2mW1,ROI.000 [],1,23.788,23.788,
2mW1,ROI.06 [],28,23.49264285714286,22.277,16.131747218208243
2mW1,ROI.11 [],4,24.40925,21.786000000000005,17.805190729578456
2mW1,[2mW1 TOTAL],33,23.61269696969697,23.277,15.791953030904793
2mW2,ROI.000 [],1,29.77799999999999,29.77799999999999,
2mW2,ROI.05 [],1,5.277000000000001,5.277000000000001,
2mW2,ROI.07 [],1,5.777000000000001,5.777000000000001,
2mW2,ROI.11 [],6,27.866666666666664,35.03049999999999,18.218420147385636
2mW2,[2mW2 TOTAL],9,23.11466666666666,29.77799999999999,17.529333401473085
2mW3,ROI.000 [],1,34.78,34.78,
2mW3,[2mW3 TOTAL],1,34.78,34.78,
5Hz1,ROI.000 [],1,40.276,40.276,
5Hz1,ROI.06 [],14,25.707214285714283,28.028,15.115132403188998
5Hz1,ROI.11 [],20,26.404599999999995,25.77950000000001,14.384968036479133
5Hz1,[5Hz1 TOTAL],35,26.52197142857143,26.78100000000001,14.451170513319743
5Hz2,ROI.000 [],3,26.450333333333333,32.286,19.90670802351141
5Hz2,ROI.02 [],2,25.529,25.529,10.960155108391492
5Hz2,ROI.04 [],2,24.77749999999999,24.77749999999999,11.31441560576595
5Hz2,ROI.05 [],2,24.777999999999995,24.777999999999995,12.022229493733692
5Hz2,ROI.06 [],2,7.278999999999994,7.278999999999994,4.952575895430589
5Hz2,ROI.07 [],2,24.52749999999999,24.52749999999999,11.667968996359225
5Hz2,ROI.08 [],2,24.27749999999999,24.27749999999999,10.607308824579404
5Hz2,ROI.09 [],4,24.655749999999998,25.2825,14.12909908368778
5Hz2,ROI.10 [],2,14.781499999999994,14.781499999999994,1.4092638149047858
5Hz2,ROI.12 [],2,25.277999999999995,25.277999999999995,11.315122712547145
5Hz2,[5Hz2 TOTAL],23,22.627391304347825,17.276999999999987,11.489011761200873
5Hz3,ROI.000 [],22,21.573954545454544,17.778000000000006,16.15053168659596
5Hz3,ROI.04 [],3,34.779,35.278000000000006,3.7763081177255726
5Hz3,ROI.07 [],3,35.61266666666668,35.278000000000006,2.517737542583289
5Hz3,ROI.12 [],5,31.580399999999997,31.27800000000001,6.034750641078715
5Hz3,[5Hz3 TOTAL],33,25.566787878787878,30.77799999999999,14.527362189067514
5Hz4,ROI.000 [],1,33.787000000000006,33.787000000000006,
5Hz4,[5Hz4 TOTAL],1,33.787000000000006,33.787000000000006,
5Hz6,ROI.06 [],33,24.46084848484848,25.283999999999992,14.010724876681998
