ROI,n_spikes,spike_times_s
ROI.12 [],2,51.285;151.278
ROI.01 [],1,151.278
ROI.05 [],1,151.278
ROI.07 [],1,151.278
ROI.10 [],1,50.784
ROI.11 [],1,151.278
