ROI,mean0,sd0,thr
ROI.01 [],0.015311391242021263,0.010435838868628556,0.04661890784790693
ROI.02 [],0.003774002880115372,0.0015994316077071384,0.008572297703236788
ROI.04 [],0.008717087607800723,0.006048690588575684,0.026863159373527776
ROI.05 [],0.005583126747720645,0.0032783932689967763,0.015418306554710973
ROI.06 [],0.03781809787396289,0.02404976920942313,0.10996740550223227
ROI.07 [],0.002499285644173679,0.001204162676305281,0.0061117736730895225
ROI.08 [],0.004399813678442885,0.002606328825527051,0.012218800155024037
ROI.09 [],0.009165577687655647,0.008069938056534616,0.0333753918572595
ROI.10 [],0.01409881070233853,0.00828323672349892,0.03894852087283529
ROI.11 [],0.0371152595438142,0.02768312075144276,0.12016462179814248
ROI.12 [],0.0028299534431324666,0.0016893093301960404,0.007897881433720588
