ROI,n_spikes,spike_times_s
ROI.23 [],8,32.777;51.287;70.275;86.777;98.287;117.777;163.778;203.776
ROI.19 [],8,32.777;50.776;70.275;87.776;98.287;117.777;157.278;203.283
ROI.10 [],7,19.277;60.790;78.777;105.285;130.285;145.777;199.277
ROI.12 [],4,70.275;98.782;117.777;203.776
ROI.24 [],3,17.290;28.276;43.278
ROI.09 [],3,105.285;130.285;148.779
ROI.22 [],3,105.285;130.285;146.788
ROI.18 [],3,70.275;98.287;117.777
ROI.17 [],3,76.784;112.786;130.285
ROI.13 [],3,70.275;117.777;163.277
ROI.07 [],2,70.275;117.777
ROI.16 [],2,105.285;130.285
ROI.15 [],2,105.285;130.285
ROI.14 [],2,105.285;130.285
ROI.11 [],2,111.780;130.285
ROI.21 [],2,123.795;180.792
ROI.20 [],2,105.285;130.285
ROI.25 [],2,105.285;130.285
ROI.03 [],1,117.777
