Time (s),ROI.01 [],ROI.02 [],ROI.03 [],ROI.04 [],ROI.05 [],ROI.06 [],ROI.07 [],ROI.08 [],ROI.09 [],ROI.10 [],ROI.11 [],ROI.12 [],ROI.13 [],ROI.14 [],ROI.15 [],ROI.16 [],ROI.17 [],ROI.18 [],ROI.19 []
0.257,0.0,0.12864662872947014,0.16442564794003622,0.006041794315421081,0.008503545871615349,0.029138634825688292,0.04585964630975886,0.003100812165820707,0.04622476212140999,0.016386830635690103,0.010595418729090686,0.008742160454470288,0.02167774617433519,0.006067280696779758,0.0056217864889080696,-0.0018859159074753253,0.0036974918863817347,0.003523953742386812,0.018095296571014496
0.778,0.0,0.2872995600748189,0.1605661594053558,0.025299017215616,0.020162801434782315,0.03053639541699974,0.003960817764376186,-0.0003770502601305074,0.055947135923409524,0.030262493273041247,0.007848179134071038,0.011786947825163286,0.0440559157667711,0.012501004148314676,-0.0005435522120351889,0.003877046329180923,0.010938117013329104,0.016531013442241484,0.032247967249689855
1.28,0.0,0.30570072180838653,0.1349332660820541,0.028437229359905544,0.035177763734351594,0.017065018307681038,0.09607035538084455,0.011228457787652307,0.047203984959629304,0.034411545301254176,0.008280192642815246,0.006423710839237308,0.03144500473182409,0.014078843868751573,0.01669442482871237,0.012537729825266249,0.009943413833242919,0.004838003662194972,0.039112677965539196
1.785,0.0,0.15790810972869498,-0.008393459172180392,0.03574241536436214,0.034236054510584694,0.040347192200123914,0.08994963464895933,0.028163881463678583,0.030939936978328912,0.022037484244104018,0.00786550695650376,0.008514123949990503,0.03898959227205727,0.004237827777030342,0.01664351956455687,0.01091279989870504,0.00884993358505194,0.013464653356394256,0.03011250663989536
2.286,0.0,0.1512862711359115,0.04216724060185779,0.039337939285306475,0.03066255680570769,0.02811523577370375,0.05364620934283975,0.013723780237314909,0.05491646519714855,0.028243049808003018,0.00646634712311932,0.008465136240445233,0.04185188152007816,0.013217745667496015,-0.0002308292515292619,0.019321842601548105,0.013331026845946817,0.011146299921112074,0.03487087430155293
2.784,0.0,0.28489796090055164,0.17137644398944551,0.014806795658628531,0.02082627028298686,0.04766735755518536,0.07099892568552638,0.011823924510545996,0.04499828065231862,0.016383586298437783,0.00043180255349055337,0.003156786977345843,0.026656882958805864,0.005749303659726513,0.006534495008290373,0.0149895727579631,0.010257805705023241,0.013217406310909648,0.024277511118444412
3.278,0.0,0.17122388952651751,0.22657975494543683,0.005082562371142311,0.012953079348418833,0.0006417954580237469,0.10393685378406871,0.0001439755104597081,0.009494537934477123,0.026269536012039546,0.005061371780685756,-0.0042205514574782605,0.011983935677831249,0.0142332604655888,0.002454943966767383,-0.0013447844090927021,0.010352786996154799,0.013218840434752431,0.00964934250904776
3.777,0.0,0.20998167160757314,0.20362075016735515,0.022013789363810116,0.009790584403339873,0.027056265916759026,0.08894490169762068,0.026758400332777512,0.01780362345262811,0.008359478811150064,0.008919845125410615,0.014864376662536118,0.0073553966966868195,0.02079145541843367,0.005790900859074882,0.010402227308065632,0.013893302883479196,0.020799871784455387,0.029651952755873533
4.277,0.0,0.22965665853834058,0.04774256634783258,0.020397439555171842,0.027831536497649953,0.04974044906083215,0.08989268889159033,0.018730918289375727,0.016932482224977754,0.014112569043866534,0.006030217443094767,0.001506614420623609,0.021673722670242226,0.01088343489298485,0.013192745986042264,0.0039024107473676355,0.006601147924926862,0.011090021998278727,0.04540415698139423
4.794,0.0,0.06453941901596415,-0.026558143173505046,0.02215289157371292,0.019687772052244572,0.05306462929323857,0.02032760211142834,0.003517420141104804,0.026697126215704112,0.02125483017518472,0.0013828861134441604,0.007064169918975599,0.01960641700281668,0.002318582666128371,0.010650452231710279,0.015433971555150527,0.01255128352100651,0.0052042058831700926,0.053084454020133724
5.278,0.0,0.22487606418664582,0.07536795019818054,0.03138077337873112,0.022515014638614265,0.01860913970385032,0.10830061797660699,0.013219621266069343,0.028057181265015246,0.01629103820308264,0.0039204667760153415,0.009203639786636651,0.017181809321478666,0.014447076632618818,0.0070014637082052135,0.0020395572418859093,0.00912931294976371,0.011435668758082324,0.03084566171426963
5.778,0.0,0.14608993786023688,0.04993571292573628,0.02771140635265361,0.027224256719880633,0.026588457396571313,0.024072149430323656,0.025084118554811057,0.016426049350215795,0.028639862471983184,0.008674950733444117,0.015698417304142658,0.019517889695351155,-0.0002443836825084575,0.012334535810633932,0.0033189302343451664,0.0020091610442470494,0.006560389522261889,0.019255979336806384
6.278,0.0,0.07541892235963031,0.10724759899348071,0.021876858477893724,0.02013329684774707,0.004176234799187861,0.01835922086364449,0.025800941454264627,0.036579272947462854,0.022196013607337473,0.001841662590593337,-0.000487389029915331,0.0009475538948415593,0.0023662755759217037,0.01664690174405253,0.009636152747811887,0.0001817057179858212,0.007711425622653539,0.0007461720129582858
6.791,0.0,0.12707696489841283,0.10949262462034332,0.010210360419117243,0.024356449610862047,0.017039923292000284,0.051183078430604774,0.00746849780334562,0.019145644319910757,0.0032691339274297146,0.0032558360307064654,0.011754363663885528,0.01152570373542266,0.014127269111512433,-0.0032417535921768666,0.0056497909585862625,-0.00011103789960888065,0.0077123396690159845,0.015317575715441407
7.276,0.0,0.1473422243061528,0.1369760449971673,0.0116797332666353,0.011962791841967127,0.01661322303879269,0.01797817434715293,0.017417329605748672,0.01791937512071002,0.01370112595452864,0.004387168631356246,0.0074199664060159735,0.012037116222056693,0.005588910668594221,0.004816555718970009,0.0024434098202684865,0.006249781129683456,-0.0032885485901226062,0.013968138205587434
7.788,0.0,0.1971353794111161,0.2278679875304584,0.004260210854804559,0.02947018430902967,0.027112952083358163,0.0862407162589333,0.012463921596550818,0.04407054763688351,0.02465709439347044,0.0023504604079690535,0.005126199372866079,-0.007178914938111214,0.016453075757298645,0.003098954635653223,0.009526040178085221,0.012866400706102472,0.011196599378695018,0.012833342703241128
8.277,0.0,0.17373232411618933,0.09126410990653061,0.02344993663161041,0.023390358802762266,0.011137665951107165,0.03834444166374137,0.00644026178293024,0.022028670627598026,0.013962486018884931,0.007147840917149376,0.0014885307550371433,0.009803116901837954,-0.0053477934890746445,0.008353982755505997,0.008716246763523738,0.010266427695421677,0.0004854954638869065,0.011088942615324764
8.779,0.0,0.2921689350385263,0.15789138809230868,0.026328433452546277,0.03480010715976638,0.030081577132683765,0.04719166371716842,0.016137707754654666,0.025246360305373895,0.01140937790296896,0.007754346696275264,0.00817668406261284,0.03561045385769292,0.008020861446002985,0.006256068454498369,0.019517837940622385,0.0026674472381720596,0.010427754196410935,0.022821684444663707
9.283,0.0,0.2749543292064938,0.22875555019611685,0.029307771840294195,0.03169571531053708,0.05397366094146558,0.12395335866358194,0.02877937515832391,0.060864436978538494,0.008643101458598656,0.021657817617249706,0.024943858425932868,0.024162325997147665,0.014754317797685353,0.00887514537892449,0.008185274348390937,0.016575131578235786,0.01393358875611498,0.04319439705996981
9.777,0.0,0.17285078731097037,0.11683830890708968,0.013450041983316648,0.009311895514459254,0.01941528889406076,0.04297836223767549,0.021913496110616035,0.012983297127130889,0.013070735907668175,0.00306619981767802,0.0038371751401554154,0.021312643865137378,0.00939608966267897,0.0050819161721532575,0.0019748930569782335,0.008844360452369741,0.007158137181026427,0.025481552047263892
10.283,0.0,0.030936356189692732,0.026267476067177435,0.0038401384653532263,0.016871433133549888,-0.022688672744067412,-0.0034191422071544143,0.011831274024471249,-0.005990834347738224,0.014541037426321679,0.003824189347634357,-0.012546797930589855,0.0004375514442360132,0.0012647930252117695,0.0003518583070120865,0.006652693839338748,0.006740792865660302,-0.0073900621661701265,0.010780157043438283
10.778,0.0,0.21394826595356023,0.04031976493533732,0.025234722566100983,0.008891701566597748,-0.0028931084181792683,0.039504574774174905,0.008272677170832162,0.0010321365652307454,0.001462783467168574,0.0060676721255903095,0.004800317875979233,0.004222950124268871,0.0030957043731723215,0.005343291971632578,-0.00394526515589286,0.0023702186057340886,0.004936731743923435,0.0047476189338865
11.278,0.0,0.24465575219607483,0.18104618068482511,-0.007939209376996586,0.015612312231949699,0.018872777327212722,0.05943107696789336,0.015549256536436502,0.03414693592299234,0.027603775361795865,0.01559315131929837,0.02569091042667322,0.020220321754806425,0.009953947457499028,0.00888139855368668,0.01975284053316256,0.008897905671244613,0.017074226108102185,0.02294464660170656
11.778,0.0,0.25399783045953495,0.1491355853073867,0.017367489927633074,0.005067703829826774,0.03932440312852759,0.08292623052157971,0.014818547443388891,0.03232790977826828,0.009656766812835869,0.016614064969193102,0.004694627185915845,0.026061941201788983,0.011837739592938823,0.003208069055172132,0.012405718766673783,0.01605068002144131,0.00960173037785756,0.037476344965987556
12.294,0.0,0.2594071930816305,0.21310083019485768,0.017040240459141764,0.010688536551271981,0.01445532044101009,0.01950153554150052,0.007090233334889675,-0.0003799687558209663,0.021254904832425835,0.004479933513543415,0.017218039846491198,-0.01204636944176998,0.016930157335123208,0.011180544661377453,0.0027301748016932644,0.006728634781974908,0.01453586791814985,0.020057554337327452
12.776,0.0,0.1476348832434144,0.08317022113390321,0.018154469952554958,0.020128437572280104,0.006371517407401711,-0.005697113582152014,0.005599143432545241,0.009299396725723105,-0.0002038816810868712,0.008270148023732403,0.004238261054988222,0.03302078306674901,0.003910879423532355,0.0018314650797443851,0.020293994912154036,0.0029896966145349876,0.009237417869692786,0.013972534469499564
