ROI,n_spikes,spike_times_s
ROI.01 [],6,28.787;59.277;80.277;101.779;123.777;151.276
ROI.03 [],6,28.787;59.277;78.277;101.779;131.277;159.276
ROI.07 [],6,28.787;51.778;76.277;95.787;131.277;151.276
ROI.05 [],6,30.777;51.778;80.277;105.277;130.280;154.278
ROI.08 [],6,31.288;51.778;72.277;103.783;130.784;151.276
ROI.14 [],6,30.777;52.293;80.277;105.277;130.784;155.777
ROI.17 [],6,26.777;58.787;79.777;110.777;130.280;153.277
ROI.15 [],6,26.777;51.778;80.277;104.777;130.280;151.276
ROI.22 [],6,26.777;56.276;73.277;103.783;130.280;152.777
ROI.04 [],5,25.777;63.277;95.787;113.777;163.276
ROI.19 [],4,19.276;63.779;113.777;163.276
ROI.21 [],4,42.776;95.276;141.276;177.278
ROI.06 [],3,43.776;101.276;132.776
ROI.02 [],3,41.277;97.277;147.278
ROI.12 [],3,49.276;101.276;150.276
ROI.09 [],3,38.777;86.277;132.776
ROI.13 [],3,49.276;101.276;137.277
ROI.10 [],3,47.777;95.276;131.776
ROI.11 [],3,38.777;100.276;140.784
ROI.18 [],3,49.276;101.276;150.276
ROI.20 [],3,39.776;96.780;147.776
ROI.23 [],3,39.776;89.277;138.276
ROI.24 [],3,32.777;89.777;138.276
ROI.25 [],3,46.776;96.780;132.776
