condition,condition_group,ROI,spike_time_s,amplitude
blue1,blue,ROI.10 [],64.287,0.0371227281700987
blue1,blue,ROI.10 [],124.791,0.0596200135106693
blue1,blue,ROI.10 [],164.778,0.0340939384003024
blue2,blue,ROI.01 [],153.296,0.1721002170218845
blue2,blue,ROI.06 [],57.784,0.1495452002988723
blue2,blue,ROI.06 [],105.287,0.1088128138858905
blue2,blue,ROI.11 [],153.296,0.2231228700746776
blue3,blue,ROI.01 [],58.276,0.7749378559640535
blue3,blue,ROI.06 [],58.276,0.8362763882612516
blue3,blue,ROI.06 [],102.278,0.1382683823320124
blue3,blue,ROI.11 [],57.779,0.9379833789807906
blue4,blue,ROI.01 [],52.788,0.8592270678161542
blue4,blue,ROI.01 [],102.277,0.1146942610102026
blue4,blue,ROI.01 [],110.785,0.1124415653104423
blue4,blue,ROI.01 [],152.778,0.1261179938048647
blue4,blue,ROI.01 [],184.277,0.6268869603280371
blue4,blue,ROI.06 [],52.788,1.0097405499399843
blue4,blue,ROI.06 [],110.785,0.1383006853623932
blue4,blue,ROI.06 [],152.778,0.139666048643674
blue4,blue,ROI.06 [],184.277,0.7562367600643373
blue4,blue,ROI.07 [],187.776,0.2287383325674776
blue4,blue,ROI.11 [],105.777,0.1154261022061597
blue4,blue,ROI.11 [],110.785,0.1286282534524442
blue4,blue,ROI.11 [],152.277,0.1563761480339456
blue4,blue,ROI.11 [],183.778,0.7003984893995646
red6,red,ROI.01 [],120.278,0.0670931332769002
red6,red,ROI.02 [],61.786,0.025103426205384
red6,red,ROI.02 [],102.779,0.0273894923053142
red6,red,ROI.02 [],116.276,0.0348387808657037
red6,red,ROI.02 [],165.284,0.0260342267914017
red6,red,ROI.02 [],174.778,0.0270522601403267
red6,red,ROI.02 [],186.276,0.0352321469241832
red6,red,ROI.09 [],115.787,0.0904684686088032
red6,red,ROI.11 [],62.778,0.0916086828904165
red6,red,ROI.11 [],68.277,0.080948894805341
red6,red,ROI.11 [],122.276,0.1093631883991105
red7,red,ROI.01 [],61.788,0.9921592073080208
red7,red,ROI.02 [],106.778,0.0552699194917042
red7,red,ROI.03 [],62.28,0.1282978783709107
red7,red,ROI.06 [],61.788,1.212425289261902
red7,red,ROI.07 [],68.777,0.0566088162423544
red7,red,ROI.07 [],106.778,0.0790052802342799
red7,red,ROI.08 [],106.288,0.0597283736106176
red7,red,ROI.09 [],59.776,0.1114901222298872
red7,red,ROI.11 [],61.276,1.192651631056042
red7,red,ROI.13 [],62.28,0.1282978783709107
red8,red,ROI.03 [],58.777,0.2836180378441134
red8,red,ROI.08 [],174.778,0.1075614459115691
red8,red,ROI.10 [],62.777,0.0344029730624704
red8,red,ROI.10 [],155.277,0.030948710486886
red8,red,ROI.13 [],58.777,0.2836180378441134
