Parameter,Replicate,2,3,4,5,6,8,10,12,14,15,19,20,21,24
10,1,1.0,1.0,,1.0,,1.0,,,1.0,,,,3.0,
10,2,,,,,,,1.0,,,,,,3.0,
10,3,1.0,1.0,,,,1.0,,,1.0,,,,3.0,
20,1,2.0,2.0,,,,2.0,,,3.0,,,,3.0,
20,2,,,,,,,,,2.0,,,,3.0,
20,3,1.0,1.0,,,,1.0,,,2.0,,1.0,,3.0,
20,4,,,,,,,,,2.0,,,,3.0,
20,5,1.0,2.0,,,,1.0,,,,1.0,,,3.0,
20,6,,,,,1.0,,,,1.0,,,,3.0,
20,7,2.0,3.0,,1.0,,2.0,,,2.0,3.0,,,3.0,1.0
20,8,1.0,1.0,,1.0,,1.0,,,1.0,1.0,,,3.0,
20,9,2.0,5.0,,,,2.0,,,1.0,,,,3.0,
2hz,1,,,,,,,,,,,,,4.0,
2hz,2,,,,,,,,,,,,,4.0,
2hz,3,4.0,4.0,,,,4.0,,,2.0,,,,4.0,
4mW,1,,,,,,,,,,,,1.0,3.0,
5hz,1,3.0,3.0,,,,4.0,,,,,,,4.0,
5hz,2,4.0,4.0,,,,4.0,,,,,,,5.0,
5hz,3,,,,,,,,,,,,,3.0,
5s,1,1.0,1.0,,,1.0,1.0,,,1.0,,,,4.0,
5s,2,2.0,2.0,,,,2.0,,,2.0,,,,3.0,
5s,3,1.0,,,,,,,,1.0,,,,3.0,
Ctrl,1,2.0,2.0,,,,2.0,,,,,,,1.0,
Ctrl,2,2.0,3.0,1.0,,,2.0,1.0,1.0,,,,,,
