Time (s),ROI.01 [],ROI.02 [],ROI.04 [],ROI.05 [],ROI.06 [],ROI.07 [],ROI.08 [],ROI.09 [],ROI.10 [],ROI.11 [],ROI.12 [],ROI.000 []
0.26,,-0.005269212586442481,-0.14905784944786632,-0.007650228812349825,0.0048473998128768,-0.005558523466400571,-0.003646714350713489,-0.036874202597429045,-0.032448764884482166,0.031788830512494884,-0.007212532507755791,0.04492778187124787
0.777,,-0.0016811795633503686,-0.11603956632773024,7.705839414038861e-05,0.028176349221151746,-0.005243009723992957,-0.009613771627424857,-0.004255603938439644,0.007543867773147944,0.02201535183930119,-0.003431543752214417,0.030214060624922857
1.277,,-0.0036184757086161973,0.002516464144366429,-8.298497912199698e-05,0.0020500083495296312,-0.0012638082532551932,-0.004020471985120658,-0.024984962844454586,-0.01612013209553994,0.03428909843766236,-0.001534760196192901,0.010518790189599225
1.777,,0.00126017847707894,-0.0036586375136020716,-0.0008768643140778712,-0.001318248570494305,0.0008123015066143291,0.002583105518524498,0.003187181825986003,-0.009263258552284494,-0.016633578574362953,0.0009864152817081013,-0.006772255970408406
2.276,,0.012797319963892405,0.1478789876050479,0.008402413631143968,-0.018626100969240028,0.004379613726922654,0.015218028335307509,0.018649108234416203,0.010363158557739423,-0.03580482929207043,0.002794885668484946,-0.02675204150494947
2.787,,0.015289314272076679,0.19417365288835667,0.02347848347511789,-0.011578379597061168,0.007319019109666598,0.013029752718127683,0.056883676547608744,0.03389362650660765,-0.08892503599843396,0.006956031120370414,-0.03986929988756318
3.278,,0.021699046021546993,0.2721319508140956,0.028533394751791386,-0.03582738702681079,0.00980226873044619,0.014643667697371862,0.07204552627586504,0.04655085832443695,-0.08878469471379706,0.006806600719781507,-0.052809343517092114
3.777,,0.026055641565930626,0.3397548206836089,0.03916495902508291,-0.033179404037431436,0.011983342369406215,0.024628016317348893,0.05069661613734665,0.05307310703144779,-0.114312504106909,0.011273691250651904,-0.06260620181899686
4.278,,0.020308863769233014,0.43887190641548157,0.0343280977662681,-0.05702654504087409,0.011775406652639191,0.03099531295742819,0.08436300598232575,0.023550025328798123,-0.11249266348473015,0.013226242240298048,-0.07236493804563071
4.78,,0.019073774046450068,0.3364910302462463,0.029305885881218446,-0.08070941874209503,0.012250939022199796,0.029043239427944945,0.07623353993119646,0.0435345284199783,-0.10309716439213543,0.013898934257494494,-0.0699358316309423
5.279,,0.032734628577599956,0.577538950086516,0.047415238472913096,-0.08324954226452494,0.01551024558234742,0.03519423903080776,0.06571772544216203,0.06202720015306797,-0.15468749614092134,0.015615865883481829,-0.09418889890437739
5.778,,0.03273837197867923,0.6143635270270239,0.05699770812187164,-0.09775863776751535,0.014393126665378763,0.03832876182215551,0.0794901882943705,0.08467950746323798,-0.1650432560252969,0.018998203995487288,-0.10895205250502475
6.278,,0.027474826378474572,0.6002805699668495,0.04910137525460718,-0.11881283772083362,0.016353861830141144,0.03802002320218256,0.07610655985313156,0.05708272918923496,-0.1508002476771122,0.018454222009335157,-0.10455228765877238
6.788,,0.02733412382131362,0.616273730929717,0.05005776376600163,-0.12761108800550977,0.015774668267669517,0.03742104234866489,0.13562072484408905,0.043920531476446374,-0.13331448460125492,0.01709556341615239,-0.10947806014145754
7.278,,0.03147086256443723,0.6867154003897354,0.05512596222618572,-0.1464218219538417,0.017753287879508625,0.04549882323525625,0.10403918610116093,0.09556890367543325,-0.17290967612329242,0.01978395255034885,-0.12426215258844639
7.779,,0.03440311160510265,0.7086285457865098,0.06675857655721534,-0.11828412977015287,0.018522439688818435,0.04253265585727342,0.12656214979579974,0.0825509578612421,-0.17985830197903271,0.02168427955446982,-0.12451513345980375
