Time (s),ROI.13 [],ROI.02 [],ROI.03 [],ROI.04 [],ROI.05 [],ROI.06 [],ROI.07 [],ROI.08 [],ROI.09 [],ROI.10 [],ROI.11 [],ROI.12 [],ROI.13 [].1,ROI.14 [],ROI.01 [],ROI.15 [],ROI.16 [],ROI.17 [],ROI.18 [],ROI.19 []
0.257,-0.7868728927171496,0.06085582268028097,0.10027458437763764,0.11951740840262788,0.08142316380650026,0.39990181483375836,-0.06402882770232739,-0.06881290808225773,-0.016560779539422615,0.28054115104797306,0.05804770879727779,-0.609985984348936,1.3838889210030423,0.03159996925674623,,0.06174978446481873,0.033972324545669515,0.019419613255342864,0.08435407421057216,-0.023657774020846817
0.779,-0.7046162096482363,0.07053698632217473,0.11711704659692639,0.08374360400927948,0.06323411135382426,0.16903370925067362,-0.045435382961463586,-0.058619390747980005,-0.02210533707873638,0.20012398779506635,0.06291054461101225,-0.5369153207133772,0.9983328235949731,0.057798529811654877,,0.036959176744154144,0.03644111655197066,0.020318920599835946,0.03976374847886875,-0.016651706265445206
1.289,-0.5952770095268154,0.05850221883114271,0.1013547358071992,0.06310197978235332,0.034887454170460915,0.15036880849729234,-0.054140304949757447,-0.04495796161198647,-0.014299237085910348,0.0258587599124618,0.034294880301045355,-0.4571332776802181,0.8774537502395345,0.02790623741673335,,0.03230331345805849,0.004329775312481698,0.0020845922688044853,0.06778141322653111,-0.017004718581822897
1.779,-0.5516509372539179,0.01788114768883533,0.11931189843100008,0.07662709041427301,0.050962783691740725,0.102621644923807,-0.041972078770889515,-0.04596217108528005,-0.011276438850175206,0.10200805826892005,0.03799903300737531,-0.4063755387323331,1.0057038367551414,0.040406178310497365,,0.05972542684364413,0.029158489245485492,0.0259473059505251,0.055730223309517754,-0.020594892861175208
2.279,-0.4810154933460888,0.04478217711502968,0.10094690773989011,0.06491679284744678,0.03351693395910937,0.13975784080693998,-0.021245482176513404,-0.03157891121594866,-0.00397060283139122,0.14208545468606085,0.043300375165953905,-0.35557526565408565,-0.30937265688025345,0.03010077064193364,,0.002923168594717238,0.031186224546353822,0.01131507769042479,0.030801181464074595,-0.010554127393818133
2.778,-0.413882491751193,0.0277879996277827,0.07286469364610142,0.05203019766281354,0.07486471877377834,0.16556642720719522,-0.025983907854622273,-0.04004172635785523,-0.00320134607232631,0.09987488734120843,0.02694803848032799,-0.28794139751018033,0.04252830723872899,0.008485087901259972,,0.016098807733657856,0.014361063916472357,0.010973599459583016,0.022100731432414016,-0.0031499463893424626
3.279,-0.36685725022022886,0.026919319151879943,0.0787487352597772,0.08432004617711154,0.0665117531989997,0.16764510771051042,-0.056181858204833734,-0.036391320074439515,-0.005961347434904127,0.12737166814213416,0.02749673373317778,-0.2606022831869155,0.9307864055902209,0.04574953590914245,,0.009948322748209048,0.03059966869720925,0.017352149951490342,0.019739007950824446,-0.018354643093261968
3.777,-0.32518278304781684,0.04249776094002242,0.06963059244335726,0.07369460071630042,0.05064036223770992,0.19550670661873049,-0.043796146518075944,-0.0077139581334115725,-0.0017708984049073667,0.12886410277673546,0.02857780044115629,-0.2359732097932972,0.8432300288209759,-0.0064975982170404085,,0.04991348906545132,0.013328366987725798,0.007391125296020829,0.01609985407805767,-0.017717081253689534
4.288,-0.3084973654755481,0.07414983108675947,0.04977930461973497,0.08629327909459486,0.05490734942995079,0.1419351288997038,-0.045038690728455524,-0.05633589316532134,-0.01591156017199202,0.2290185087209727,0.02518624081107677,-0.23022423225564836,1.3653471883752117,0.05435079969106767,,0.06498778981707226,0.04183270791372751,0.020005571032964162,0.034075867620699855,-0.01764057703489756
4.777,-0.24065517949843185,0.044680304472432535,0.0414693360456198,0.060199513775093624,0.0428068366161417,0.13675923057242895,-0.028886210481090233,-0.006695692857427808,-0.007040562812590102,0.02905159398089678,0.01685807176253225,-0.18403051282917288,1.052172350074432,0.054218700713000986,,-0.016110142428646668,0.027842411699475978,-0.0028017406304687853,0.026673583971489813,-0.012522542734655995
5.278,-0.22122526932598519,0.03651606583375764,0.061328626528702614,0.05763960618668504,0.05624684886676783,0.16773787147044636,-0.013916726779443516,-0.013690185117149326,-0.0003134726953177455,0.01137173124896735,0.02915013235693896,-0.17210427146207544,0.09425284412877433,0.010353431518886451,,0.004236088200424827,0.04027775158469115,0.009515973219266014,0.03215260483073336,-0.012548378642161722
5.788,-0.2095887681462597,0.0460028230017956,0.03945611517677658,0.06053817176536225,0.06967267838373271,0.09612764214922587,-0.04220580747163137,-0.04159707003523541,-0.003291801142630847,0.13188004384603086,0.02179456078756917,-0.1582958427107511,0.8445015078670548,0.025263380593446044,,0.063160307674413,0.028936143421235384,0.02023868750621399,0.030409679647034095,-0.020477288609639824
6.277,-0.18610713351972838,0.04445263988627021,0.034917283247361576,0.06352042415715,0.01974050015618647,0.08341282012863013,-0.028313378921047832,-0.02887182889006751,-0.0048906184037939325,0.06329098912637657,0.00476751870514425,-0.12524226022183757,0.9274802135469054,0.038958777449150966,,0.02992543528617492,0.04360147197271642,0.0019420834635699667,0.07002287414108722,-0.021055862231799984
6.777,-0.14430380475051338,0.03297781808530334,0.021773637650865145,0.0559789326686815,0.03415195819090405,0.03706797493865341,-0.04161285740507459,-0.04018577524223936,-0.0016249781696520494,0.11486115364555667,0.011967760875767293,-0.10521776535791638,0.6034147326883879,0.03848928166881831,,0.03298122522773986,0.014827669074700876,0.004847505125919491,0.024079669462513366,-0.008270855979704297
7.277,-0.1426350781033617,0.0208690289380071,0.02406712308946743,0.061584455161825924,0.020584829326058356,0.06648950736203318,-0.07015370918166698,-0.016689773531662053,-0.0044553654171036045,0.13323578015577928,0.011052170194249884,-0.08411264739969128,0.964478254721339,0.038623632105831994,,0.022422034290532508,0.015196549159402,0.001461127974257902,0.0025857540310986506,-0.008336222185806617
