Condition_A,Condition_B,n_ROIs,Spearman_rho,p_value,Significance
10s,20s,13,0.38514479351651065,0.193747272036706,ns
10s,2hz,5,-0.09999999999999999,0.8728885715695383,ns
10s,5hz,15,-0.2461839756364759,0.3764397597661462,ns
10s,5s,3,-0.8660254037844387,0.3333333333333332,ns
20s,2hz,5,-0.5642880936468347,0.32172333582430024,ns
20s,2mw,5,0.5270462766947299,0.3614548502018728,ns
20s,5hz,15,-0.6176032130147538,0.014154896747247394,*
20s,5s,5,0.3,0.6238376647810728,ns
2hz,5hz,7,-0.01801874925391118,0.9694153868031987,ns
2hz,5s,4,-0.888888888888889,0.11111111111111102,ns
2hz,Far Light Control,3,1.0,0.0,***
2mw,5s,4,0.0,1.0,ns
5hz,5s,5,-0.5642880936468347,0.32172333582430024,ns
5hz,Far Light Control,3,0.8660254037844387,0.3333333333333332,ns
5s,Far Light Control,3,-0.8660254037844387,0.3333333333333332,ns
