Term,Coefficient,Std_Error,z_value,p_value,Significance
Intercept,24.467787313943,2.1489622132037347,11.38586205174158,4.917947570844504e-30,***
C(condition_group)[T.1mw],-9.681389124997926,8.718210449187737,-1.1104789430610644,0.2667926969603366,ns
C(condition_group)[T.20s],-1.6802240615878112,2.508742375889877,-0.6697475506993095,0.50301873373503,ns
C(condition_group)[T.2hz],6.0123999309904415,3.0409636336175243,1.977136413117214,0.048026212788179735,*
C(condition_group)[T.2mw],6.06441402772007,4.80049462250431,1.2632894117390765,0.20648519002694865,ns
C(condition_group)[T.5hz],2.2237058036775084,2.883196564377545,0.771264030746924,0.44055044788339826,ns
C(condition_group)[T.5s],-1.1122335448758516,3.1788331063351833,-0.34988736673820686,0.726423228403202,ns
C(condition_group)[T.Ctrl],28.975854838553232,7.342012206257148,3.9465822208602273,7.9274706490987e-05,***
C(condition_group)[T.Far Light Control],2.3210856156596242,7.344327065966127,0.3160378881294132,0.7519737502333095,ns
ROI (random effect var),0.018490665190015704,,,,
