ROI,Group_A,Group_B,n_A,n_B,Mean_A,Mean_B,p_value,Significance
ROI.22 [],2mw,Far Light Control,1,1,1.0,1.0,1.0,ns
ROI.22 [],5hz,5s,1,3,1.0,3.0,1.0,ns
ROI.22 [],5hz,Ctrl,1,1,1.0,1.0,1.0,ns
ROI.22 [],5hz,Far Light Control,1,1,1.0,1.0,1.0,ns
ROI.22 [],5s,Ctrl,3,1,3.0,1.0,1.0,ns
ROI.22 [],5s,Far Light Control,3,1,3.0,1.0,1.0,ns
ROI.22 [],Ctrl,Far Light Control,1,1,1.0,1.0,1.0,ns
ROI.31 [],10s,1mw,2,1,2.0,1.0,1.0,ns
ROI.31 [],10s,2hz,2,4,2.0,2.25,0.8025873486341526,ns
ROI.31 [],10s,5hz,2,1,2.0,5.0,1.0,ns
ROI.31 [],10s,5s,2,1,2.0,2.0,1.0,ns
ROI.31 [],10s,Far Light Control,2,1,2.0,1.0,1.0,ns
ROI.31 [],1mw,2hz,1,4,1.0,2.25,1.0,ns
ROI.31 [],1mw,5hz,1,1,1.0,5.0,1.0,ns
ROI.31 [],1mw,5s,1,1,1.0,2.0,1.0,ns
ROI.31 [],1mw,Far Light Control,1,1,1.0,1.0,1.0,ns
ROI.31 [],2hz,5hz,4,1,2.25,5.0,1.0,ns
ROI.31 [],2hz,5s,4,1,2.25,2.0,1.0,ns
ROI.31 [],2hz,Far Light Control,4,1,2.25,1.0,1.0,ns
ROI.31 [],5hz,5s,1,1,5.0,2.0,1.0,ns
ROI.31 [],5hz,Far Light Control,1,1,5.0,1.0,1.0,ns
ROI.31 [],5s,Far Light Control,1,1,2.0,1.0,1.0,ns
ROI.A [],20s,2mw,1,1,1.0,1.0,1.0,ns
ROI.A [],20s,5s,1,1,1.0,1.0,1.0,ns
ROI.A [],2mw,5s,1,1,1.0,1.0,1.0,ns
ROI.B [],20s,2mw,2,1,1.0,1.0,1.0,ns
ROI.D [],20s,2hz,2,3,3.0,1.3333333333333333,0.2235428745713206,ns
ROI.D [],20s,2mw,2,1,3.0,1.0,1.0,ns
ROI.D [],20s,5hz,2,1,3.0,1.0,1.0,ns
