Group_A,Group_B,n_paired_ROIs,Mean_A,Mean_B,Mean_Diff,t_statistic,p_value,Cohens_d,Significance
10s,1mw,2,1.5,1.0,0.5,1.0,0.49999999999999956,0.7071067811865475,ns
10s,20s,13,1.1025641025641024,1.5384615384615385,-0.4358974358974359,-3.7207944551191625,0.0029226258792311353,-1.031962707184172,**
10s,2hz,5,1.3,1.45,-0.15,-0.6123724356957946,0.5733922538253555,-0.2738612787525831,ns
10s,5hz,15,1.1555555555555554,1.7,-0.5444444444444445,-2.054444777805609,0.05909478485985268,-0.5304553606762613,ns
10s,5s,3,1.5,1.6666666666666667,-0.16666666666666666,-0.3779644730092272,0.7418011102528389,-0.21821789023599236,ns
1mw,2hz,2,1.0,2.125,-1.125,-9.0,0.07044657495455454,-6.363961030678928,ns
1mw,5hz,2,1.0,4.5,-3.5,-7.0,0.0903344706017331,-4.949747468305833,ns
1mw,5s,2,1.0,2.0,-1.0,-inf,0.0,0.0,***
20s,2hz,5,2.3,1.1333333333333333,1.1666666666666667,3.689323936863109,0.02103119255636895,1.6499158227686108,*
20s,2mw,5,1.9,1.0,0.9,1.616447718240974,0.18130341427595284,0.722897396012249,ns
20s,5hz,15,1.7666666666666666,1.2333333333333334,0.5333333333333333,2.4030056367444423,0.030691715049590486,0.6204533874635849,*
20s,5s,5,1.9666666666666663,1.8666666666666667,0.09999999999999995,0.688247201611685,0.5291333003818584,0.3077935056255461,ns
20s,Ctrl,2,3.25,1.0,2.25,9.0,0.07044657495455454,6.363961030678928,ns
20s,Far Light Control,2,3.25,1.0,2.25,9.0,0.07044657495455454,6.363961030678928,ns
2hz,2mw,2,1.3333333333333333,1.0,0.33333333333333326,inf,0.0,0.0,***
2hz,5hz,7,1.4166666666666665,2.0714285714285716,-0.6547619047619049,-1.4118042720001784,0.2077060523424985,-0.5336118576587231,ns
2hz,5s,4,1.7291666666666665,2.5833333333333335,-0.8541666666666667,-1.4941230600119575,0.23199927981413493,-0.7470615300059787,ns
2hz,Ctrl,2,1.3333333333333333,1.0,0.33333333333333326,inf,0.0,0.0,***
2hz,Far Light Control,3,1.6388888888888886,1.0,0.6388888888888888,2.0909090909090904,0.17167523302453733,1.2071869264873991,ns
2mw,5hz,2,1.0,1.0,0.0,,,0.0,ns
2mw,5s,4,1.0,2.0833333333333335,-1.0833333333333335,-1.7218920641845572,0.1835680428488911,-0.8609460320922786,ns
2mw,Ctrl,2,1.0,1.0,0.0,,,0.0,ns
2mw,Far Light Control,2,1.0,1.0,0.0,,,0.0,ns
5hz,5s,5,2.5,2.2666666666666666,0.2333333333333333,0.22036999250719547,0.8363736213863622,0.0985524566894417,ns
5hz,Ctrl,2,1.0,1.0,0.0,,,0.0,ns
5hz,Far Light Control,3,2.3333333333333335,1.0,1.3333333333333333,0.9999999999999999,0.42264973081037427,0.5773502691896256,ns
5s,Ctrl,2,3.166666666666667,1.0,2.166666666666667,12.999999999999996,0.048874503944394805,9.192388155425116,*
5s,Far Light Control,3,2.777777777777778,1.0,1.777777777777778,4.437601569801832,0.04721386531933816,2.5620504608813937,*
Ctrl,Far Light Control,2,1.0,1.0,0.0,,,0.0,ns
