condition,spike_count,condition_group
10s1,3,10s
10s2,14,10s
10s4,2,10s
10s5,3,10s
10s6,10,10s
1mw3,2,1mw
20s1,13,20s
20s2,1,20s
20s3,27,20s
20s4,25,20s
20s6,13,20s
2hz1,11,2hz
2hz2,7,2hz
2hz3,2,2hz
2hz4,2,2hz
2hz5,5,2hz
2hz6,1,2hz
2mw2,8,2mw
5hz1,9,5hz
5hz2,13,5hz
5hz3,18,5hz
5s1,15,5s
5s2,6,5s
5s3,1,5s
5s4,2,5s
5s6,3,5s
Ctrl1,3,Ctrl
Ctrl2,3,Far Light Control
