Group_A,Group_B,n_A,n_B,Mean_A,Mean_B,p_value,Significance
10s,1mw,5,1,0.1279373702533933,0.27987718882335877,1.0,ns
10s,20s,5,5,0.1279373702533933,0.19364155351049886,0.15079365079365079,ns
10s,2hz,5,6,0.1279373702533933,0.2666399945940358,0.004329004329004329,**
10s,2mw,5,1,0.1279373702533933,0.08012032485218677,1.0,ns
10s,5hz,5,3,0.1279373702533933,0.261283652088882,0.07142857142857142,ns
10s,5s,5,5,0.1279373702533933,0.2142748035754566,0.6904761904761905,ns
10s,Ctrl,5,1,0.1279373702533933,0.1254894082263581,1.0,ns
10s,Far Light Control,5,1,0.1279373702533933,0.3087439039447726,1.0,ns
1mw,20s,1,5,0.27987718882335877,0.19364155351049886,1.0,ns
1mw,2hz,1,6,0.27987718882335877,0.2666399945940358,1.0,ns
1mw,2mw,1,1,0.27987718882335877,0.08012032485218677,1.0,ns
1mw,5hz,1,3,0.27987718882335877,0.261283652088882,1.0,ns
1mw,5s,1,5,0.27987718882335877,0.2142748035754566,1.0,ns
1mw,Ctrl,1,1,0.27987718882335877,0.1254894082263581,1.0,ns
1mw,Far Light Control,1,1,0.27987718882335877,0.3087439039447726,1.0,ns
20s,2hz,5,6,0.19364155351049886,0.2666399945940358,0.17748917748917747,ns
20s,2mw,5,1,0.19364155351049886,0.08012032485218677,1.0,ns
20s,5hz,5,3,0.19364155351049886,0.261283652088882,0.39285714285714285,ns
20s,5s,5,5,0.19364155351049886,0.2142748035754566,0.8412698412698413,ns
20s,Ctrl,5,1,0.19364155351049886,0.1254894082263581,1.0,ns
20s,Far Light Control,5,1,0.19364155351049886,0.3087439039447726,1.0,ns
2hz,2mw,6,1,0.2666399945940358,0.08012032485218677,1.0,ns
2hz,5hz,6,3,0.2666399945940358,0.261283652088882,0.7142857142857142,ns
2hz,5s,6,5,0.2666399945940358,0.2142748035754566,0.9307359307359306,ns
2hz,Ctrl,6,1,0.2666399945940358,0.1254894082263581,1.0,ns
2hz,Far Light Control,6,1,0.2666399945940358,0.3087439039447726,1.0,ns
2mw,5hz,1,3,0.08012032485218677,0.261283652088882,1.0,ns
2mw,5s,1,5,0.08012032485218677,0.2142748035754566,1.0,ns
2mw,Ctrl,1,1,0.08012032485218677,0.1254894082263581,1.0,ns
2mw,Far Light Control,1,1,0.08012032485218677,0.3087439039447726,1.0,ns
5hz,5s,3,5,0.261283652088882,0.2142748035754566,0.5714285714285714,ns
5hz,Ctrl,3,1,0.261283652088882,0.1254894082263581,1.0,ns
5hz,Far Light Control,3,1,0.261283652088882,0.3087439039447726,1.0,ns
5s,Ctrl,5,1,0.2142748035754566,0.1254894082263581,1.0,ns
5s,Far Light Control,5,1,0.2142748035754566,0.3087439039447726,1.0,ns
Ctrl,Far Light Control,1,1,0.1254894082263581,0.3087439039447726,1.0,ns
