ROI,n_spikes,spike_times_s
ROI.01 [],3,47.276;99.276;148.776
ROI.02 [],3,44.775;97.276;145.775
ROI.04 [],3,35.275;83.276;133.276
ROI.05 [],3,49.776;99.776;149.275
