Time (s),ROI.01 [],ROI.02 [],ROI.03 [],ROI.04 [],ROI.05 [],ROI.06 [],ROI.07 [],ROI.08 [],ROI.09 [],ROI.10 []
0.257,0.0,0.04260463619150729,0.031640875928399925,0.40554423704303677,-0.006491427678384946,-0.006491427678384946,0.02690294279894199,-0.03202367471030112,0.7579969233409318,0.15029085131746328
0.783,0.0,0.05096960423690753,0.03146410238555203,0.3903640194218646,-0.0011306689804151937,-0.0011306689804151937,0.021202031007392676,-0.011940695919373254,0.6559037624074714,0.1825894765601543
1.285,0.0,0.044951360558735935,0.035083305136281405,0.28589205255663946,-0.0003907446051317123,-0.0003907446051317123,0.018848317261383713,-0.010016113520913384,0.5001315523024363,0.14486899358146624
1.778,0.0,0.03620467380202017,0.020245840735360093,0.2480562852364261,0.00025120698298082696,0.00025120698298082696,0.016930295107795274,0.008508654870087569,0.45226151331589337,0.11437398598490638
2.296,0.0,0.025288238029925643,0.015353174738968378,0.23036694565194546,0.0005973592741418088,0.0005973592741418088,0.01322598459769358,0.00502242968212726,0.42818754531204883,0.091263767993432
2.778,0.0,0.03777689617961147,0.009181818240769154,0.19926462068731365,0.0002804790110464791,0.0002804790110464791,0.01624475777780924,0.008833222574924561,0.35252913036820493,0.09570536904041893
3.278,0.0,0.02127675470972684,0.009025947225506654,0.14092615963029476,0.0006796616023095865,0.0006796616023095865,0.014131221611801638,0.008284072427159006,0.24142355377979946,0.07325059313444979
3.787,0.0,0.028656775461942317,0.005642503307039946,0.17159604526874003,0.0007498661744622324,0.0007498661744622324,0.015481703164162607,0.018516052906322224,0.2744693269113596,0.07571346562068516
4.278,0.0,0.04078003143337039,0.008578254061757901,0.1210523581862225,0.001361390172792977,0.001361390172792977,0.009989137369498365,0.007337045223129871,0.1841332144931223,0.07643060597435339
4.776,0.0,0.029301577464050592,0.00718362943366859,0.11638769294218825,0.0013896622226568609,0.0013896622226568609,0.01453948472973233,0.027356066187486483,0.1771559326885152,0.061383822650076754
5.278,0.0,0.03264406848978797,0.009634747099658716,0.0849073905133716,0.001846936453576632,0.001846936453576632,0.009983586408922862,0.024661445411300345,0.15765302683842175,0.07128717862898219
5.788,0.0,0.031088798673663105,0.007622818108194121,0.08941600966245525,0.0021625385007019255,0.0021625385007019255,0.01139545365593357,0.025104034608081274,0.1245486595828199,0.04575595113348189
6.279,0.0,0.021641285688898348,0.008271621984865146,0.06860456595028877,0.002508709003925604,0.002508709003925604,0.009430758218208823,0.01316420740952294,0.10285768029104037,0.04139263990323028
6.779,0.0,0.029191685364362983,0.005592483736654674,0.08020311154519805,0.0025941826970435266,0.0025941826970435266,0.009144528442432616,0.0218084345870723,0.10464268917400436,0.05604008203834483
7.278,0.0,0.018486868194242792,0.004345372976645712,0.057054646291933166,0.002488449724062313,0.002488449724062313,0.009542721674553497,0.008729130921664694,0.06245714458272203,0.06086638076151636
7.778,0.0,0.027964775393071566,0.007414677236180725,0.04712590335269447,0.0027978017387447263,0.0027978017387447263,0.00803417774276447,0.03161746935838531,0.07142429279029507,0.05830877562855226
8.278,0.0,0.02413868214781486,-0.00032427376177011674,0.01884337411450953,0.002501122084847898,0.002501122084847898,0.009761682063851003,0.038563944069508256,0.022126619191857048,0.03876470739345356
8.777,0.0,0.028869989531481125,0.0007921449746799399,0.03537819950876597,0.002657454472205959,0.002657454472205959,0.008010200156326428,0.020657826402041255,0.03951245381162287,0.027435437052062178
9.277,0.0,0.019345819095547258,0.000506186180790484,0.03437781110248837,0.0028713215042159078,0.0028713215042159078,0.007240628928263224,0.022557237398340323,0.030682543832067758,0.03535207090544689
9.788,0.0,0.01611871926921944,0.008724199109527594,0.050822199844861346,0.0032785186229525123,0.0032785186229525123,0.008885566444057334,0.02140777041114911,0.054625871051223955,0.07416397380218888
10.278,0.0,0.024039533277237287,0.001297529646939419,0.010663980070733544,0.0031653997866798447,0.0031653997866798447,0.010776586283433861,0.02674959550583822,0.025579355007338975,0.006358208687828658
10.777,0.0,0.026281272438817258,0.005187142343502648,0.0386477302500528,0.0034103662685838936,0.0034103662685838936,0.007627298182914974,0.03588685192656938,0.07825062150128022,0.05300216634547904
11.286,0.0,0.010585214588184332,-0.004920669376365482,0.027770390640144128,0.0033315461688499665,0.0033315461688499665,0.006622484025939101,0.026229347395378844,0.02403128253345626,0.008552783131002247
11.779,0.0,0.021353635395600368,0.008538543098964315,0.020633264572644673,0.0036238513898889527,0.0036238513898889527,0.006675967997461719,0.034923636016038935,0.0065209700124257385,0.056223004509838956
12.276,0.0,0.010479033937277255,-0.002151903985602316,-0.010582885860552702,0.003687593766609701,0.003687593766609701,0.0032057048976249086,0.02745799804866757,-0.01650645147060345,0.014171432060781445
12.784,0.0,0.012969657017177786,-0.00017199495910816346,-0.005946386536317992,0.0036177885518351447,0.0036177885518351447,0.003194121635030371,0.029453923542633712,0.007557260061632146,0.024934221179067975
13.277,0.0,0.011540113971937648,0.006535712185949319,0.015220851254454593,0.004103296275683379,0.004103296275683379,0.003023095248715921,0.028587370197774763,0.02733787909137224,0.07154810109548834
13.776,0.0,0.007531756318833751,0.0056052092697711125,0.03118018379070431,0.004071235016024368,0.004071235016024368,0.0056852693137821155,0.026268888668695894,0.03962937713675179,0.051126194613677414
14.286,0.0,0.018806421446374517,0.0058780203300998835,0.008977655634198582,0.0039828874218414256,0.0039828874218414256,0.0034968750826774434,0.048475757441228666,0.04438706054535046,0.04397954059066778
14.784,0.0,0.010262871328236502,0.002350462547492494,0.016715374721973465,0.004161132357769567,0.004161132357769567,0.0036679212359652814,0.03785704638002965,-0.007959551748368094,0.020260309519164264
15.287,0.0,0.003934294665515166,0.0011338469231850924,0.0071075895988896255,0.003971901312228403,0.003971901312228403,0.003555118679317643,0.025452569467509963,0.018123263879452876,0.026914475193743445
