ROI,n_spikes,spike_times_s
ROI.14 [],8,23.287;50.276;57.278;66.277;101.288;151.276;172.777;182.777
ROI.12 [],5,56.276;101.288;106.278;157.286;180.278
ROI.15 [],2,150.284;155.277
