ROI,n_spikes,spike_times_s
ROI.09 [],4,46.276;101.777;141.777;191.286
ROI.02 [],3,43.776;95.276;148.276
ROI.03 [],3,46.276;89.776;141.777
ROI.04 [],3,40.282;86.276;135.277
ROI.07 [],3,51.776;91.276;149.276
ROI.05 [],3,44.777;84.278;135.277
ROI.08 [],3,46.276;89.776;143.776
ROI.10 [],3,43.776;91.276;149.276
ROI.11 [],3,51.776;91.276;151.776
ROI.13 [],3,51.278;93.777;143.776
