ROI,n_spikes,spike_times_s
ROI.03 [],4,45.777;62.284;106.278;162.778
ROI.18 [],3,25.277;43.285;143.277
ROI.10 [],2,59.278;143.780
ROI.11 [],1,56.787
ROI.12 [],1,43.285
ROI.13 [],1,43.285
ROI.02 [],1,29.277
ROI.14 [],1,56.787
ROI.15 [],1,56.787
ROI.16 [],1,56.787
ROI.17 [],1,56.787
ROI.19 [],1,43.285
ROI.22 [],1,56.276
ROI.24 [],1,56.787
ROI.25 [],1,56.787
