Condition_A,Condition_B,n_ROIs,Spearman_rho,p_value,Significance
10s,20s,14,-0.02417582417582418,0.9346189946036425,ns
10s,2hz,11,0.30000000000000004,0.37008312228206786,ns
10s,2mw,3,0.5,0.6666666666666667,ns
10s,5hz,14,0.21318681318681318,0.4643028200397442,ns
10s,5s,5,-0.39999999999999997,0.5046315754686911,ns
20s,2hz,13,-0.06043956043956044,0.8445023706449684,ns
20s,5hz,15,0.04285714285714285,0.8794603130258999,ns
20s,5s,6,0.8285714285714287,0.04156268221574334,*
2hz,5hz,13,0.6373626373626374,0.0191181137774633,*
2hz,5s,5,0.3,0.6238376647810728,ns
5hz,5s,6,0.3714285714285715,0.46847813411078715,ns
