ROI,Spike_Count,Mean_Latency_s,Median_Latency_s,Std_Latency_s,SEM_Latency_s
ROI.01 [],1,24.789,24.789,0.0,0.0
ROI.02 [],2,33.287,33.287,14.14072141016858,9.999
ROI.03 [],2,19.277,19.277,9.19238815542512,6.500000000000001
ROI.04 [],2,24.2825,24.2825,1.4064353877800435,0.9945000000000003
ROI.06 [],1,51.77799999999999,51.77799999999999,0.0,0.0
ROI.09 [],9,26.11488888888889,25.27799999999999,9.774590048237888,3.2581966827459627
ROI.10 [],11,25.734454545454547,24.27799999999999,10.145271779145558,3.0589145352370175
ROI.11 [],13,22.28046153846154,21.78,10.14892191824157,2.814804489761564
ROI.12 [],8,26.59425,26.027499999999996,10.448678586992985,3.6941657416507065
ROI.13 [],8,23.157250000000005,22.028,12.240132197582087,4.327540239765046
ROI.14 [],6,26.446,26.277499999999996,11.692961643655554,4.7736316014819025
ROI.16 [],9,26.339333333333332,24.77799999999999,9.976012880905879,3.325337626968626
ROI.17 [],9,26.558666666666667,23.27799999999999,9.857854254349673,3.2859514181165577
ROI.18 [],10,25.5283,23.280999999999995,9.398986588989263,2.9722205318582944
ROI.19 [],9,25.615777777777772,23.27799999999999,8.957542265847506,2.9858474219491686
ROI.20 [],6,25.946333333333328,27.527499999999996,10.577742021181397,4.318345097115072
ROI.21 [],8,26.1545,27.529999999999994,10.942799994255846,3.868864040553211
ROI.22 [],24,25.219541666666668,26.284500000000005,16.969185809627596,3.463820548672055
ROI.24 [],1,32.77699999999999,32.77699999999999,0.0,0.0
ROI.27 [],1,5.777000000000001,5.777000000000001,0.0,0.0
ROI.31 [],22,25.939181818181815,29.5265,16.69908035003115,3.5602558931065387
ROI.A [],3,17.781000000000002,21.777,10.10505061837891,5.834153694695858
ROI.B [],3,20.280666666666672,22.78700000000001,7.089924564713882,4.0933698559717
ROI.C [],1,23.779,23.779,0.0,0.0
ROI.D [],24,27.656916666666664,29.5345,15.490441950404147,3.161973222391101
ROI.E [],12,24.823583333333335,23.530999999999995,8.945377134773768,2.582307948382179
ROI.F [],17,24.338705882352944,25.776,16.62442643283034,4.032015655757042
