Condition_A,Condition_B,n_ROIs,Spearman_rho,p_value,Significance
10s,20s,13,0.058416636436065136,0.8496528084769277,ns
10s,2hz,5,0.49999999999999994,0.39100221895577053,ns
10s,5hz,15,0.6073129993728082,0.01634306132991407,*
10s,5s,3,0.0,1.0,ns
20s,2hz,5,0.9682458365518541,0.0067601354949575546,**
20s,2mw,5,,,ns
20s,5hz,15,-0.2991345875777025,0.2787729090303093,ns
20s,5s,5,0.8029550685469662,0.10183797037740712,ns
2hz,5hz,7,0.6400261077368837,0.1215624340151056,ns
2hz,5s,4,-0.888888888888889,0.11111111111111102,ns
2hz,Far Light Control,3,,,ns
2mw,5s,4,,,ns
5hz,5s,5,-0.6315789473684211,0.25308042455441565,ns
5hz,Far Light Control,3,,,ns
5s,Far Light Control,3,,,ns
