Term,Coefficient,Std_Error,z_value,p_value,Significance
Intercept,14.201658534395833,3.0378386469086136,4.674921937953427,2.9406545268268503e-06,***
C(condition_group)[T.1mw],-14.202042524241284,11.465396651039315,-1.2386874136582007,0.2154612816175473,ns
C(condition_group)[T.20s],-5.696973845240535,3.363428678822287,-1.6937995091471196,0.09030338741962474,ns
C(condition_group)[T.2hz],2.5623150942171424,3.5929721867448587,0.7131463760476628,0.47575518460864463,ns
C(condition_group)[T.2mw],-5.587517187444564,7.064073618728925,-0.7909766360065136,0.4289576255806218,ns
C(condition_group)[T.5hz],-6.906651437179076,4.065855581352743,-1.6986957108991012,0.08937653201059989,ns
C(condition_group)[T.5s],19.383091511806292,,,,ns
C(condition_group)[T.Ctrl],12.229393150448448,5.20967308700656,2.347439646635365,0.01890293530873055,*
C(condition_group)[T.ctrl],-7.630143827328098,4.489631098682788,-1.699503513677706,0.08922435309647427,ns
ROI (random effect var),0.010558144330040114,,,,
