Term,Coefficient,Std_Error,z_value,p_value,Significance
Intercept,1.1136075277178847,0.6126955436566422,1.8175544758686153,0.06913225497129813,ns
C(condition_group)[T.blue],0.1779502640687301,0.625953184562634,0.2842868579589822,0.7761905566754783,ns
C(condition_group)[T.red],0.9576971003770745,0.6133178487761817,1.5615020862152786,0.11840533199642951,ns
ROI (random effect var),0.25984926490387544,,,,
