ROI,spike_count
ROI.01 [],16
ROI.02 [],7
ROI.03 [],10
ROI.04 [],10
ROI.05 [],6
ROI.06 [],7
ROI.07 [],6
ROI.08 [],10
ROI.09 [],11
ROI.10 [],12
ROI.11 [],6
ROI.12 [],6
ROI.13 [],9
ROI.14 [],8
