ROI,n_spikes,spike_times_s
ROI.03 [],6,28.277;76.789;102.276;106.278;126.788;157.787
ROI.02 [],4,75.298;121.278;127.277;156.777
ROI.07 [],4,51.779;77.278;125.776;162.278
