Condition_Group,Spike_Count,Avg_Latency_s,Median_Latency_s,Std_Latency_s,SEM_Latency_s
10s,1,17.777,17.777,,
1mW,1,45.27600000000001,45.27600000000001,,
20s,10,32.63250000000001,41.028000000000006,15.852233338975724,5.012916335161933
2Hz,8,27.909625000000002,25.031500000000005,14.536874933743004,5.139561421455211
2mW,3,4.944333333333333,5.277000000000001,1.0397121396489215,0.6002780837060266
5Hz,5,22.6774,19.27800000000001,17.289211977415285,7.731970651780826
5s,18,33.11372222222222,26.2775,26.57946536178447,6.264840065876918
Ctrl,9,22.003444444444444,19.77799999999999,14.701781670184664,4.900593890061555
