ROI,Group_A,Group_B,n_A,n_B,Mean_A,Mean_B,p_value,Significance
ROI.02 [],20s,5s,1,1,43.286,23.288,1.0,ns
ROI.03 [],20s,2mw,1,1,12.777,25.777,1.0,ns
ROI.04 [],2mw,5s,1,1,25.277,23.288,1.0,ns
ROI.09 [],10s,20s,1,5,27.777,23.982599999999998,1.0,ns
ROI.09 [],10s,2hz,1,1,27.777,25.27799999999999,1.0,ns
ROI.09 [],10s,5hz,1,2,27.777,31.03300000000001,1.0,ns
ROI.09 [],20s,2hz,5,1,23.982599999999998,25.27799999999999,1.0,ns
ROI.09 [],20s,5hz,5,2,23.982599999999998,31.03300000000001,0.38095238095238093,ns
ROI.09 [],2hz,5hz,1,2,25.27799999999999,31.03300000000001,1.0,ns
ROI.10 [],10s,20s,3,4,21.78333333333333,24.5295,1.0,ns
ROI.10 [],10s,5hz,3,3,21.78333333333333,28.111333333333334,0.7,ns
ROI.10 [],10s,5s,3,1,21.78333333333333,35.27699999999999,1.0,ns
ROI.10 [],20s,5hz,4,3,24.5295,28.111333333333334,0.8571428571428571,ns
ROI.10 [],20s,5s,4,1,24.5295,35.27699999999999,1.0,ns
ROI.10 [],5hz,5s,3,1,28.111333333333334,35.27699999999999,1.0,ns
ROI.11 [],10s,20s,4,5,18.781750000000002,23.081399999999995,0.7301587301587302,ns
ROI.11 [],10s,5hz,4,4,18.781750000000002,24.778000000000002,0.6857142857142857,ns
ROI.11 [],20s,5hz,5,4,23.081399999999995,24.778000000000002,0.7301587301587302,ns
ROI.12 [],10s,20s,2,4,25.0275,24.660500000000003,1.0,ns
ROI.12 [],10s,5hz,2,2,25.0275,32.028499999999994,0.6666666666666666,ns
ROI.12 [],20s,5hz,4,2,24.660500000000003,32.028499999999994,0.8,ns
ROI.13 [],10s,20s,2,3,18.281000000000006,21.787333333333336,0.8,ns
ROI.13 [],10s,5hz,2,3,18.281000000000006,27.778000000000002,0.8,ns
ROI.13 [],20s,5hz,3,3,21.787333333333336,27.778000000000002,0.7,ns
ROI.14 [],10s,20s,1,3,27.777,22.114000000000004,1.0,ns
ROI.14 [],10s,5hz,1,2,27.777,32.278499999999994,1.0,ns
ROI.14 [],20s,5hz,3,2,22.114000000000004,32.278499999999994,0.4,ns
ROI.16 [],10s,20s,1,7,28.28400000000001,26.284571428571432,1.0,ns
ROI.16 [],10s,5hz,1,1,28.28400000000001,24.77799999999999,1.0,ns
ROI.16 [],20s,5hz,7,1,26.284571428571432,24.77799999999999,1.0,ns
ROI.17 [],10s,20s,2,6,27.277,26.865999999999996,0.8571428571428571,ns
ROI.17 [],10s,5hz,2,1,27.277,23.27799999999999,1.0,ns
