Condition_Group,Spike_Count,Avg_Latency_s,Median_Latency_s,Std_Latency_s,SEM_Latency_s
10s,32,24.4675625,27.026500000000002,8.379792818046703,1.4813520816447878
1mw,2,14.78200000000001,14.78200000000001,0.6986214998123074,0.49399999999999883
20s,79,22.788506329113925,20.27799999999999,11.809376057546359,1.3286586119830877
2hz,28,30.47785714285714,33.28,17.335049950711152,3.2760165096045855
2mw,8,30.53125,25.527,10.053323569134456,3.554386634598759
5hz,40,26.690999999999995,24.27799999999999,9.968002045005345,1.5760795091716562
5s,27,23.35551851851852,23.288,14.731133416027353,2.835007947737228
Ctrl,3,53.44399999999999,54.27699999999999,1.442798322704872,0.8329999999999984
Far Light Control,3,26.788333333333327,31.288,7.793651283790766,4.499666666666672
