condition,condition_group,ROI,spike_time_s,amplitude
5hz2,5hz,ROI.14 [],154.778,0.304648538395072
5hz2,5hz,ROI.16 [],154.778,0.2014845589033505
5hz2,5hz,ROI.17 [],153.278,0.1928738513843392
5hz2,5hz,ROI.18 [],154.278,0.2910500099525862
5hz2,5hz,ROI.19 [],153.278,0.2253829487673183
5hz2,5hz,ROI.20 [],153.278,0.1805290593974077
5hz2,5hz,ROI.21 [],154.278,0.3337442213200044
5hz3,5hz,ROI.E [],100.778,0.0725420951451343
5hz3,5hz,ROI.E [],119.278,0.1071615776947474
5hz3,5hz,ROI.D [],58.777,0.2814626041891723
5hz3,5hz,ROI.09 [],119.278,0.1363717841142933
5hz3,5hz,ROI.10 [],100.778,0.0933418055593776
5hz3,5hz,ROI.10 [],119.278,0.1852315001938127
5hz3,5hz,ROI.11 [],94.778,0.082456707546653
5hz3,5hz,ROI.11 [],100.778,0.0984478697644958
5hz3,5hz,ROI.11 [],119.278,0.1625809008693421
5hz3,5hz,ROI.12 [],119.779,0.10834607143318
5hz3,5hz,ROI.13 [],99.778,0.1212154292680846
5hz3,5hz,ROI.13 [],119.278,0.1608973988266256
5hz3,5hz,ROI.14 [],119.779,0.1162472483723591
5hz3,5hz,ROI.18 [],99.778,0.0931577542190415
5hz3,5hz,ROI.18 [],119.278,0.1352108214660332
5hz3,5hz,ROI.21 [],98.779,0.1211423720882824
5hz3,5hz,ROI.21 [],119.278,0.1295066449367738
5hz3,5hz,ROI.22 [],58.291,0.2656381447366228
5s1,5s,ROI.F [],37.287,0.3484556043805938
5s1,5s,ROI.F [],146.278,0.3666883082604271
5s1,5s,ROI.D [],49.788,0.2681018710344937
5s1,5s,ROI.D [],58.278,0.2893191845526311
5s1,5s,ROI.D [],114.277,0.2070471466902197
5s1,5s,ROI.D [],124.278,0.1905277813489336
5s1,5s,ROI.D [],133.784,0.1731263712031779
5s1,5s,ROI.D [],147.78,0.3605942848555125
5s1,5s,ROI.22 [],45.778,0.263208577822857
5s1,5s,ROI.22 [],65.288,0.2847127188272914
5s1,5s,ROI.22 [],124.278,0.177811278692283
5s1,5s,ROI.22 [],133.283,0.2099910153613143
5s1,5s,ROI.22 [],147.78,0.3557725769970237
5s1,5s,ROI.31 [],37.287,0.3783734364780147
5s1,5s,ROI.31 [],146.278,0.3951151209184499
5s2,5s,ROI.D [],32.787,0.2856575328054189
5s2,5s,ROI.D [],76.282,0.2894264139295106
5s2,5s,ROI.D [],99.277,0.2912592037180893
5s2,5s,ROI.22 [],32.787,0.2733062967727456
5s2,5s,ROI.22 [],76.282,0.2738631983148984
5s2,5s,ROI.22 [],103.278,0.2863021758288153
5s3,5s,ROI.10 [],135.277,0.0844493509562574
5s4,5s,ROI.D [],62.277,0.3957966170937733
5s4,5s,ROI.22 [],62.277,0.3780810476349276
5s6,5s,ROI.A [],51.777,0.0245005208030205
5s6,5s,ROI.02 [],53.288,0.0304595764907466
5s6,5s,ROI.04 [],53.288,0.0413209402068739
Ctrl1,Ctrl,ROI.D [],184.277,0.1853757149420118
Ctrl1,Ctrl,ROI.06 [],181.778,0.0296916267931862
Ctrl1,Ctrl,ROI.22 [],184.277,0.1614008829438763
Ctrl2,Far Light Control,ROI.D [],111.288,0.4424742155852585
Ctrl2,Far Light Control,ROI.22 [],111.288,0.3736445012485707
Ctrl2,Far Light Control,ROI.31 [],147.789,0.1101129950004886
