ROI,n_spikes,Mean_Amplitude,SEM
ROI.01 [],1,0.0602529630166394,0.0
ROI.02 [],2,0.0368461133318122,0.006386536841065599
ROI.03 [],2,0.05669777999014765,0.015153659509596152
ROI.04 [],2,0.0533891297240493,0.012068189517175403
ROI.06 [],1,0.0296916267931862,0.0
ROI.09 [],7,0.19185359676632216,0.0250582451160233
ROI.10 [],8,0.20809389754356528,0.03762766308233222
ROI.11 [],8,0.17549841833000945,0.032400246494553336
ROI.12 [],7,0.19101318272859463,0.031063122866746666
ROI.13 [],7,0.2153654461701971,0.03744399446808381
ROI.14 [],6,0.19746673674258872,0.027916925948625628
ROI.16 [],5,0.2000269541427119,0.0369232791711367
ROI.17 [],6,0.16913685134176706,0.02308487423712638
ROI.18 [],7,0.19734938307682653,0.02726206273322138
ROI.19 [],7,0.18258003664133343,0.020661619585558077
ROI.20 [],5,0.18326773498088114,0.025850982640245258
ROI.21 [],6,0.1846124180559484,0.034053737422245565
ROI.22 [],12,0.2773834349218472,0.022258673817950075
ROI.24 [],1,0.0258066604487806,0.0
ROI.27 [],1,0.0220163837398263,0.0
ROI.31 [],10,0.2596108597244825,0.029373919986780895
ROI.A [],3,0.030758859322652196,0.0036966243583477438
ROI.B [],3,0.010131389949598666,0.0024063464250601244
ROI.C [],1,0.0553981344632622,0.0
ROI.D [],12,0.2930077442794016,0.025442526295211657
ROI.E [],8,0.16216289128438796,0.023963220605456696
ROI.F [],9,0.2801245118140909,0.02586300011984877
