ROI,n_spikes,spike_times_s
ROI.01 [],6,29.793;52.786;76.778;101.778;119.777;151.778
ROI.03 [],6,29.793;60.276;76.778;102.788;124.277;155.276
ROI.04 [],6,20.787;60.786;68.777;111.278;124.277;150.276
ROI.05 [],6,29.793;58.277;79.276;102.788;122.277;154.286
ROI.07 [],6,26.778;51.777;75.778;106.776;129.787;151.778
ROI.08 [],6,27.275;52.275;78.786;101.778;125.785;151.778
ROI.14 [],6,26.778;51.777;77.777;105.277;127.777;151.778
ROI.15 [],6,26.778;50.777;75.778;101.778;128.294;151.778
ROI.17 [],6,21.278;50.777;79.775;104.279;126.280;158.287
ROI.22 [],6,25.776;51.287;77.276;109.786;129.787;155.795
ROI.19 [],6,17.796;62.276;68.278;112.276;117.788;160.786
ROI.24 [],3,53.777;101.778;151.778
ROI.10 [],2,59.276;102.788
