ROI,n_spikes,spike_times_s
ROI.11 [],9,27.796;37.778;58.777;82.777;161.277;172.276;181.777;189.283;195.277
ROI.14 [],4,61.288;107.789;113.277;183.784
ROI.20 [],4,27.796;58.777;71.295;82.277
ROI.16 [],3,61.288;113.277;182.278
ROI.25 [],3,27.796;43.778;54.287
ROI.17 [],3,34.777;57.285;181.284
ROI.15 [],2,61.288;181.284
ROI.21 [],1,14.790
