ROI,n_spikes,spike_times_s
ROI.05 [],6,75.781;114.776;124.276;153.276;163.275;202.275
ROI.23 [],4,75.781;114.776;153.276;202.275
ROI.19 [],4,75.781;114.776;153.276;202.275
ROI.10 [],3,50.275;85.275;138.775
ROI.09 [],3,42.277;95.776;138.775
ROI.02 [],3,41.775;81.775;147.776
ROI.20 [],3,43.276;91.275;138.775
ROI.11 [],3,41.775;96.776;138.775
ROI.14 [],3,33.776;85.775;138.775
ROI.15 [],3,43.276;91.275;138.775
ROI.21 [],3,32.275;96.776;149.276
ROI.16 [],3,39.776;85.275;138.775
ROI.07 [],1,202.786
ROI.17 [],1,58.776
