ROI,n_spikes,spike_times_s
ROI.07 [],7,31.277;52.276;80.777;109.277;123.287;136.289;162.777
ROI.01 [],6,21.778;41.794;80.777;104.776;125.777;159.277
ROI.03 [],6,26.294;53.276;80.777;108.787;130.776;158.794
ROI.05 [],6,30.276;53.276;79.786;106.775;131.285;153.777
ROI.04 [],6,19.776;41.794;63.287;113.283;142.294;163.788
ROI.08 [],6,29.777;54.280;80.777;101.777;130.277;152.776
ROI.14 [],6,26.294;51.777;80.777;106.775;131.285;155.788
ROI.17 [],6,26.294;51.777;81.277;106.775;131.285;153.777
ROI.15 [],6,21.778;51.777;80.777;105.783;131.285;153.777
ROI.22 [],6,26.294;54.280;80.777;108.787;130.776;155.788
ROI.19 [],4,19.278;63.778;113.784;164.276
ROI.02 [],3,48.278;99.277;143.284
ROI.06 [],3,34.776;99.277;150.277
ROI.09 [],3,48.776;90.776;140.276
ROI.13 [],3,32.276;89.776;141.777
ROI.12 [],3,37.276;99.277;151.277
ROI.10 [],3,38.276;90.776;140.276
ROI.21 [],3,51.277;85.776;135.278
ROI.23 [],3,37.276;101.278;151.277
ROI.20 [],3,48.776;90.776;138.276
ROI.18 [],3,48.776;89.776;140.276
ROI.24 [],3,33.777;93.776;150.277
ROI.25 [],3,49.779;89.776;141.278
ROI.16 [],2,24.295;51.777
ROI.11 [],2,97.782;143.284
