Parameter,Replicate,ROI,spike_time_s
blue,1,1,49.276
blue,1,1,101.276
blue,1,1,147.777
blue,1,2,50.276
blue,1,2,98.777
blue,1,2,144.277
blue,1,5,48.276
blue,1,5,101.276
blue,1,5,143.277
blue,2,1,47.777
blue,2,1,100.777
blue,2,1,146.277
blue,2,2,47.777
blue,2,2,98.276
blue,2,2,132.777
blue,2,5,47.777
blue,2,5,88.277
blue,2,5,145.277
blue,3,1,49.775
blue,3,1,100.777
blue,3,1,151.278
blue,3,2,49.775
blue,3,2,91.276
blue,3,2,140.779
blue,3,5,49.775
blue,3,5,91.276
blue,3,5,148.276
blue,4,1,48.777
blue,4,1,83.276
blue,4,1,146.776
blue,4,1,184.277
blue,4,1,199.776
blue,4,2,43.277
blue,4,2,91.777
blue,4,2,140.276
blue,4,2,199.277
blue,4,5,44.278
blue,4,5,96.276
blue,4,5,146.776
red,1,1,192.785
red,2,1,31.778
red,2,1,97.282
red,2,1,131.286
red,3,1,50.779
red,3,1,100.775
red,3,1,133.278
